"rgn_id","loiczid","prop_area","rgn_name","cell_area"
1,69338,0.16,"Rhode Island",2306.11
1,70057,0.2,"Rhode Island",2323.98
1,70058,0.16,"Rhode Island",2323.98
2,67893,0.01,"New York",2269.83
2,68613,0.05,"New York",2288.06
2,69333,0.01,"New York",2306.11
2,70053,0.06,"New York",2323.98
2,70054,0.06,"New York",2323.98
2,70055,0.26,"New York",2323.98
2,70056,0.4,"New York",2323.98
2,70057,0.17,"New York",2323.98
2,70772,0.06,"New York",2341.68
2,70773,0.28,"New York",2341.68
2,70774,0.39,"New York",2341.68
2,70775,0.25,"New York",2341.68
2,70776,0.14,"New York",2341.68
2,70777,0.01,"New York",2341.68
3,70053,0.01,"Connecticut",2323.98
3,70054,0.2,"Connecticut",2323.98
3,70055,0.25,"Connecticut",2323.98
3,70056,0.12,"Connecticut",2323.98
3,70057,0.03,"Connecticut",2323.98
3,70773,0.03,"Connecticut",2341.68
4,67898,0.01,"Massachusetts-Gulf of Maine",2269.83
4,67899,0.25,"Massachusetts-Gulf of Maine",2269.83
4,68618,0.01,"Massachusetts-Gulf of Maine",2288.06
4,68619,0.43,"Massachusetts-Gulf of Maine",2288.06
4,68620,0.21,"Massachusetts-Gulf of Maine",2288.06
4,68621,0.01,"Massachusetts-Gulf of Maine",2288.06
4,69339,0.08,"Massachusetts-Gulf of Maine",2306.11
4,69340,0.48,"Massachusetts-Gulf of Maine",2306.11
4,69341,0.06,"Massachusetts-Gulf of Maine",2306.11
5,69338,0.01,"Massachusetts-Virginian",2306.11
5,69339,0.28,"Massachusetts-Virginian",2306.11
5,69340,0.17,"Massachusetts-Virginian",2306.11
5,69341,0.11,"Massachusetts-Virginian",2306.11
5,70058,0.04,"Massachusetts-Virginian",2323.98
5,70059,0.34,"Massachusetts-Virginian",2323.98
5,70060,0.33,"Massachusetts-Virginian",2323.98
5,70061,0.06,"Massachusetts-Virginian",2323.98
6,67179,0.04,"New Hampshire",2251.44
6,67899,0.07,"New Hampshire",2269.83
7,65024,0.02,"Maine",2195.22
7,65025,0.09,"Maine",2195.22
7,65026,0.21,"Maine",2195.22
7,65027,0.03,"Maine",2195.22
7,65741,0.01,"Maine",2214.13
7,65742,0.08,"Maine",2214.13
7,65743,0.62,"Maine",2214.13
7,65744,0.47,"Maine",2214.13
7,65745,0.23,"Maine",2214.13
7,65746,0.01,"Maine",2214.13
7,66460,0.24,"Maine",2232.87
7,66461,0.4,"Maine",2232.87
7,66462,0.37,"Maine",2232.87
7,66463,0.3,"Maine",2232.87
7,67179,0.15,"Maine",2251.44
7,67180,0.15,"Maine",2251.44
7,67899,0.02,"Maine",2269.83
8,65026,0.12,"Gulf of Maine/Bay of Fundy",2195.22
8,65027,0.02,"Gulf of Maine/Bay of Fundy",2195.22
8,65744,0.25,"Gulf of Maine/Bay of Fundy",2214.13
8,65745,0.74,"Gulf of Maine/Bay of Fundy",2214.13
8,65746,0.65,"Gulf of Maine/Bay of Fundy",2214.13
8,66460,0.04,"Gulf of Maine/Bay of Fundy",2232.87
8,66461,0.32,"Gulf of Maine/Bay of Fundy",2232.87
8,66462,0.56,"Gulf of Maine/Bay of Fundy",2232.87
8,66463,0.7,"Gulf of Maine/Bay of Fundy",2232.87
8,66464,1,"Gulf of Maine/Bay of Fundy",2232.87
8,66465,1,"Gulf of Maine/Bay of Fundy",2232.87
8,66466,0.13,"Gulf of Maine/Bay of Fundy",2232.87
8,67179,0.03,"Gulf of Maine/Bay of Fundy",2251.44
8,67180,0.8,"Gulf of Maine/Bay of Fundy",2251.44
8,67181,1,"Gulf of Maine/Bay of Fundy",2251.44
8,67182,1,"Gulf of Maine/Bay of Fundy",2251.44
8,67183,1,"Gulf of Maine/Bay of Fundy",2251.44
8,67184,1,"Gulf of Maine/Bay of Fundy",2251.44
8,67185,0.77,"Gulf of Maine/Bay of Fundy",2251.44
8,67899,0.23,"Gulf of Maine/Bay of Fundy",2269.83
8,67900,1,"Gulf of Maine/Bay of Fundy",2269.83
8,67901,1,"Gulf of Maine/Bay of Fundy",2269.83
8,67902,1,"Gulf of Maine/Bay of Fundy",2269.83
8,67903,1,"Gulf of Maine/Bay of Fundy",2269.83
8,67904,1,"Gulf of Maine/Bay of Fundy",2269.83
8,67905,0.74,"Gulf of Maine/Bay of Fundy",2269.83
8,67906,0.01,"Gulf of Maine/Bay of Fundy",2269.83
8,68619,0.23,"Gulf of Maine/Bay of Fundy",2288.06
8,68620,0.75,"Gulf of Maine/Bay of Fundy",2288.06
8,68621,0.99,"Gulf of Maine/Bay of Fundy",2288.06
