"State","County","Year","Beach Id","Beach Name","Beach Status","Reported","Station ID","Activity ID","Action Type","ActionStartDate","ActionEndDate","ActionDuration Days","Percentage oftime beachwas affectedduring open hours","Time affected(in hours)","Time beachis open(in hours)","Action Reasons","Action Indicator","Action Possible Source"
"MA","BARNSTABLE","2011","MA690649","333 Commercial Street","Active","Y","-","362844","Contamination Advisory","09-AUG-11","10-AUG-11","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2010","MA690649","333 Commercial Street","Active","Y","-","334220","Contamination Advisory","10-AUG-10","11-AUG-10","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2010","MA690649","333 Commercial Street","Active","Y","-","334221","Contamination Advisory","17-AUG-10","18-AUG-10","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2009","MA690649","333 Commercial Street","Active","Y","-","305459","Contamination Advisory","30-JUN-09","07-JUL-09","7","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2008","MA690649","333 Commercial Street","Active","Y","-","300904","Contamination Advisory","13-AUG-08","14-AUG-08","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2007","MA690649","333 Commercial Street","Active","Y","-","266213","Contamination Advisory","05-JUN-07","06-JUN-07","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2007","MA690649","333 Commercial Street","Active","Y","-","266214","Contamination Advisory","28-AUG-07","29-AUG-07","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2006","MA690649","333 Commercial Street","Active","Y","-","221871","Contamination Advisory","29-AUG-06","30-AUG-06","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2005","MA690649","333 Commercial Street","Active","Y","-","200264","Contamination Advisory","26-JUL-05","27-JUL-05","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2005","MA690649","333 Commercial Street","Active","Y","-","200226","Contamination Advisory","19-JUL-05","20-JUL-05","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BRISTOL","2015","MA271417","400 Beach","Active","Y","-","455629","Rain Advisory","11-AUG-15","13-AUG-15","2","100","-","24","RAINFALL","PREEMPT","UNKNOWN"
"MA","BRISTOL","2014","MA271417","400 Beach","Active","Y","-","432567","Contamination Advisory","06-JUL-14","08-JUL-14","2","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BRISTOL","2014","MA271417","400 Beach","Active","Y","-","432568","Rain Advisory","05-JUL-14","06-JUL-14","1","100","-","24","RAINFALL","PREEMPT","UNKNOWN"
"MA","BRISTOL","2013","MA271417","400 Beach","Active","Y","-","401032","Rain Advisory","27-AUG-13","29-AUG-13","2","100","-","24","RAINFALL","PREEMPT","UNKNOWN"
"MA","NANTUCKET","2012","MA567204","40th Pole","Active","Y","-","379830","Contamination Advisory","06-JUL-12","07-JUL-12","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","NANTUCKET","2012","MA567204","40th Pole","Active","Y","-","379831","Contamination Advisory","01-AUG-12","02-AUG-12","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","NANTUCKET","2010","MA567204","40th Pole","Active","Y","-","334158","Contamination Advisory","24-JUN-10","26-JUN-10","2","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","NANTUCKET","2009","MA567204","40th Pole","Active","Y","-","305376","Closure","21-AUG-09","23-AUG-09","2","100","-","24","OTHER","PREEMPT","UNKNOWN"
"MA","NANTUCKET","2009","MA567204","40th Pole","Active","Y","-","305377","Contamination Advisory","24-JUN-09","26-JUN-09","2","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","NANTUCKET","2008","MA567204","40th Pole","Active","Y","-","300845","Contamination Advisory","10-JUL-08","11-JUL-08","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","NANTUCKET","2007","MA567204","40th Pole","Active","Y","-","266202","Contamination Advisory","15-AUG-07","17-AUG-07","2","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","NANTUCKET","2005","MA567204","40th Pole","Active","Y","-","200330","Contamination Advisory","17-AUG-05","18-AUG-05","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2013","MA720593","451 Commercial Street","Active","Y","-","401048","Contamination Advisory","28-AUG-13","29-AUG-13","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2010","MA720593","451 Commercial Street","Active","Y","-","334256","Contamination Advisory","10-AUG-10","11-AUG-10","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2010","MA720593","451 Commercial Street","Active","Y","-","334255","Closure","04-AUG-10","06-AUG-10","2","100","-","24","OTHER","PREEMPT","UNKNOWN"
"MA","BARNSTABLE","2009","MA720593","451 Commercial Street","Active","Y","-","305501","Closure","07-JUL-09","09-JUL-09","2","100","-","24","OTHER","PREEMPT","UNKNOWN"
"MA","BARNSTABLE","2009","MA720593","451 Commercial Street","Active","Y","-","305500","Contamination Advisory","28-JUL-09","29-JUL-09","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2008","MA720593","451 Commercial Street","Active","Y","-","300934","Contamination Advisory","13-AUG-08","14-AUG-08","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2007","MA720593","451 Commercial Street","Active","Y","-","266215","Contamination Advisory","05-JUN-07","06-JUN-07","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2006","MA720593","451 Commercial Street","Active","Y","-","221833","Contamination Advisory","19-JUL-06","20-JUL-06","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2006","MA720593","451 Commercial Street","Active","Y","-","221686","Contamination Advisory","21-JUN-06","22-JUN-06","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2005","MA720593","451 Commercial Street","Active","Y","-","200266","Contamination Advisory","26-JUL-05","27-JUL-05","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2014","MA576153","593 Commercial Street","Active","Y","-","432594","Contamination Advisory","15-JUL-14","16-JUL-14","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2014","MA576153","593 Commercial Street","Active","Y","-","432595","Contamination Advisory","13-AUG-14","20-AUG-14","7","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2013","MA576153","593 Commercial Street","Active","Y","-","401047","Contamination Advisory","25-JUN-13","26-JUN-13","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2011","MA576153","593 Commercial Street","Active","Y","-","362797","Contamination Advisory","12-JUL-11","13-JUL-11","1","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
"MA","BARNSTABLE","2011","MA576153","593 Commercial Street","Active","Y","-","362796","Contamination Advisory","31-AUG-11","02-SEP-11","2","100","-","24","ELEV_BACT","ENTERO","UNKNOWN"
