"State","County","Year","Beach Id","Beach Name","Beach Status","Reported","Station ID","Activity ID","Action Type","ActionStartDate","ActionEndDate","ActionDuration Days","Percentage oftime beachwas affectedduring open hours","Time affected(in hours)","Time beachis open(in hours)","Action Reasons","Action Indicator","Action Possible Source"
"CT","NEW HAVEN","2016","CT473427","ALTSCHULER BEACH","Active","Y","1CTDPHBM|7900","476145","Closure","28-JUL-16","30-JUL-16","3","0","0","10.5","ELEV_BACT","ENTERO","UNKNOWN"
"CT","NEW HAVEN","2016","CT473427","ALTSCHULER BEACH","Active","Y","1CTDPHBM|7900","476144","Closure","15-AUG-16","17-AUG-16","3","0","0","10.5","ELEV_BACT","ENTERO","UNKNOWN"
"CT","NEW HAVEN","2016","CT473427","ALTSCHULER BEACH","Active","Y","1CTDPHBM|7900","476146","Closure","06-JUN-16","08-JUN-16","3","0","0","10.5","ELEV_BACT","ENTERO","UNKNOWN"
"CT","NEW HAVEN","2013","CT473427","ALTSCHULER BEACH","Active","Y","-","386710","Closure","31-MAY-13","31-MAY-13","1","100","-","10.5","ELEV_BACT","ENTERO","CSO"
"CT","NEW HAVEN","2013","CT473427","ALTSCHULER BEACH","Active","Y","-","446398","Closure","31-MAY-13","31-MAY-13","1","100","-","10.5","ELEV_BACT","ENTERO","CSO"
"CT","NEW HAVEN","2013","CT473427","ALTSCHULER BEACH","Active","Y","-","416342","Closure","31-MAY-13","31-MAY-13","1","100","-","10.5","ELEV_BACT","ENTERO","CSO"
"CT","NEW HAVEN","2012","CT473427","ALTSCHULER BEACH","Active","Y","-","386569","Contamination Advisory","13-JUN-12","15-JUN-12","2","100","-","10.5","ELEV_BACT","ENTERO","STORM"
"CT","NEW HAVEN","2012","CT473427","ALTSCHULER BEACH","Active","Y","-","370535","Contamination Advisory","13-JUN-12","15-JUN-12","2","100","-","10.5","ELEV_BACT","ENTERO","STORM"
"CT","NEW HAVEN","2011","CT473427","ALTSCHULER BEACH","Active","Y","-","352028","Closure","29-AUG-11","31-AUG-11","2","100","-","10.5","ELEV_BACT","ENTERO","STORM"
"CT","NEW HAVEN","2011","CT473427","ALTSCHULER BEACH","Active","Y","-","352027","Closure","15-AUG-11","17-AUG-11","2","100","-","10.5","ELEV_BACT","ENTERO","STORM"
"CT","NEW HAVEN","2011","CT473427","ALTSCHULER BEACH","Active","Y","-","352029","Closure","31-AUG-11","01-SEP-11","1","100","-","10.5","ELEV_BACT","ENTERO","STORM"
"NY","BRONX","2016","NY617089","AMERICAN TURNERS","Active","Y","21NYBCH|NY617089-01","476769","Rain Advisory","06-JUN-16","06-JUN-16","1","100","24","24","RAINFALL","PREEMPT","CSO,STORM"
