"","State","County","Beach Name"
"1","MA","BARNSTABLE","333 Commercial Street"
"2","MA","BARNSTABLE","451 Commercial Street"
"3","MA","BARNSTABLE","593 Commercial Street"
"4","MA","BARNSTABLE","637 Commercial Street"
"5","MA","PLYMOUTH","A Street Bay Side"
"6","MA","PLYMOUTH","A Street Ocean"
"7","MA","BARNSTABLE","Andrew Harding Lane Beach"
"8","MA","PLYMOUTH","Antassawomak East"
"9","MA","BARNSTABLE","Atkins Lane"
"10","MA","BARNSTABLE","Atlantic Avenue"
"11","MA","BARNSTABLE","Barlows Landing"
"12","MA","BARNSTABLE","Bass River East"
"13","MA","PLYMOUTH","Bassings Beach"
"14","MA","BARNSTABLE","Baxter Avenue"
"15","MA","BARNSTABLE","Bay Road"
"16","MA","BARNSTABLE","Bayview"
"17","MA","BARNSTABLE","Bayview Street"
"18","MA","BARNSTABLE","Beach Point Landing"
"19","MA","BARNSTABLE","Bikepath Beach (Trunk River) - East"
"20","MA","BARNSTABLE","Bikepath Beach (Trunk River) - West"
"21","MA","BARNSTABLE","Boat Meadow"
"22","MA","PLYMOUTH","Brant Rock"
"23","MA","BARNSTABLE","Breakwater Landing"
"24","MA","PLYMOUTH","Briarwood"
"25","MA","BARNSTABLE","Bristol - East"
"26","MA","BARNSTABLE","Bristol - West"
"27","MA","BARNSTABLE","Bucks Creek"
"28","MA","BARNSTABLE","Burton Baker"
"29","MA","BARNSTABLE","Cahoon Hollow"
"30","MA","BARNSTABLE","Campground"
"31","MA","BARNSTABLE","Cataumet Harbor"
"32","MA","BARNSTABLE","Chapin Memorial"
"33","MA","BARNSTABLE","Chapoquoit"
"34","MA","BARNSTABLE","Chatham Bars Inn"
"35","MA","BARNSTABLE","Clipper Lane"
"36","MA","BARNSTABLE","Cockle Cove"
"37","MA","BARNSTABLE","Cold Storage"
"38","MA","BARNSTABLE","Cold Storage/Pond Village"
"39","MA","BARNSTABLE","Cole Road"
"40","MA","BARNSTABLE","Colonial Acres East"
"41","MA","BARNSTABLE","Colonial Acres West"
"42","MA","BARNSTABLE","Columbus Avenue"
"43","MA","PLYMOUTH","Converse Point"
"44","MA","BARNSTABLE","Cook's Brook"
"45","MA","BARNSTABLE","Corporation"
"46","MA","BARNSTABLE","Court Street"
"47","MA","BARNSTABLE","Covell's"
"48","MA","BARNSTABLE","Craigville"
"49","MA","BARNSTABLE","Crosby Landing"
"50","MA","BARNSTABLE","Cross Street"
"51","MA","PLYMOUTH","Darcy's"
"52","MA","BARNSTABLE","Dowses"
"53","MA","PLYMOUTH","Duxbury Beach @ Bath House"
"54","MA","BARNSTABLE","Dyer Prince"
"55","MA","BARNSTABLE","Earle Road"
"56","MA","PLYMOUTH","East Boulevard"
"57","MA","BARNSTABLE","East Sandwich"
"58","MA","PLYMOUTH","Edgewater"
"59","MA","PLYMOUTH","Egypt"
"60","MA","BARNSTABLE","Ellis Landing"
"61","MA","BARNSTABLE","Eugenia Fortes"
"62","MA","BARNSTABLE","Falmouth Heights East"
"63","MA","BARNSTABLE","Falmouth Heights West"
"64","MA","PLYMOUTH","Fieldston"
"65","MA","BARNSTABLE","First Encounter - Spit River"
