"rgn_id","rgn_name","rgn_abrev","year","pressure_score"
1,"Rhode Island","RI",2002,0.0246128696516874
2,"New York","NY",2002,0.0525857403723364
3,"Connecticut","CT",2002,0.0825314367198288
4,"Massachusetts-Gulf of Maine","MA",2002,0.0149709896061826
5,"Massachusetts-Virginian","MA",2002,0.0056932688709474
6,"New Hampshire","NH",2002,0.0661625807017111
7,"Maine","ME",2002,0.0235561710826476
8,"Gulf of Maine/Bay of Fundy","GOM",2002,NA
9,"Virginian","VA",2002,NA
1,"Rhode Island","RI",2003,0.023413619071787
2,"New York","NY",2003,0.0517807880890414
3,"Connecticut","CT",2003,0.0801001917231865
4,"Massachusetts-Gulf of Maine","MA",2003,0.0149966473841181
5,"Massachusetts-Virginian","MA",2003,0.00538357806582523
6,"New Hampshire","NH",2003,0.0661856750168797
7,"Maine","ME",2003,0.0228514608564875
8,"Gulf of Maine/Bay of Fundy","GOM",2003,NA
9,"Virginian","VA",2003,NA
1,"Rhode Island","RI",2004,0.0217906410775688
2,"New York","NY",2004,0.0505061678085134
3,"Connecticut","CT",2004,0.0759208970639745
4,"Massachusetts-Gulf of Maine","MA",2004,0.0132329151798015
5,"Massachusetts-Virginian","MA",2004,0.00516395033400345
6,"New Hampshire","NH",2004,0.0566318851748154
7,"Maine","ME",2004,0.0179337889760136
8,"Gulf of Maine/Bay of Fundy","GOM",2004,NA
9,"Virginian","VA",2004,NA
1,"Rhode Island","RI",2005,0.0195233610237732
2,"New York","NY",2005,0.0462271318966842
3,"Connecticut","CT",2005,0.068332403449336
4,"Massachusetts-Gulf of Maine","MA",2005,0.0118210500940195
5,"Massachusetts-Virginian","MA",2005,0.00487702967324748
6,"New Hampshire","NH",2005,0.0494682758656008
7,"Maine","ME",2005,0.0163790244398848
8,"Gulf of Maine/Bay of Fundy","GOM",2005,NA
9,"Virginian","VA",2005,NA
1,"Rhode Island","RI",2006,0.0209095890293689
2,"New York","NY",2006,0.0484257364006108
3,"Connecticut","CT",2006,0.0707620380357787
4,"Massachusetts-Gulf of Maine","MA",2006,0.0117406524849204
5,"Massachusetts-Virginian","MA",2006,0.00549580834190463
6,"New Hampshire","NH",2006,0.048377390087578
7,"Maine","ME",2006,0.0158497681253483
8,"Gulf of Maine/Bay of Fundy","GOM",2006,NA
9,"Virginian","VA",2006,NA
1,"Rhode Island","RI",2007,0.0210671966058138
2,"New York","NY",2007,0.047582893087714
3,"Connecticut","CT",2007,0.0695978378995831
4,"Massachusetts-Gulf of Maine","MA",2007,0.0113787915146417
5,"Massachusetts-Virginian","MA",2007,0.00534848064320944
6,"New Hampshire","NH",2007,0.047612984186679
7,"Maine","ME",2007,0.0155157186327217
8,"Gulf of Maine/Bay of Fundy","GOM",2007,NA
9,"Virginian","VA",2007,NA
1,"Rhode Island","RI",2008,0.018868266651659
2,"New York","NY",2008,0.0413881112048608
3,"Connecticut","CT",2008,0.0614995645980189
4,"Massachusetts-Gulf of Maine","MA",2008,0.0102842228655081
5,"Massachusetts-Virginian","MA",2008,0.00470670149434147
6,"New Hampshire","NH",2008,0.0453637803656746
7,"Maine","ME",2008,0.0140571921750689
8,"Gulf of Maine/Bay of Fundy","GOM",2008,NA
9,"Virginian","VA",2008,NA
1,"Rhode Island","RI",2009,0.0175633310297341
2,"New York","NY",2009,0.0396811522074117
3,"Connecticut","CT",2009,0.0581679598667437
4,"Massachusetts-Gulf of Maine","MA",2009,0.0090823263229676
5,"Massachusetts-Virginian","MA",2009,0.00378876399800022
6,"New Hampshire","NH",2009,0.0385329237368157
7,"Maine","ME",2009,0.013003469803532
8,"Gulf of Maine/Bay of Fundy","GOM",2009,NA
9,"Virginian","VA",2009,NA
1,"Rhode Island","RI",2010,0.0165999126298952
2,"New York","NY",2010,0.0429146518551984
3,"Connecticut","CT",2010,0.0611606303936201
4,"Massachusetts-Gulf of Maine","MA",2010,0.00945323508983007
5,"Massachusetts-Virginian","MA",2010,0.00402404790758899
6,"New Hampshire","NH",2010,0.0432134099112544
7,"Maine","ME",2010,0.0143145291058116
8,"Gulf of Maine/Bay of Fundy","GOM",2010,NA
9,"Virginian","VA",2010,NA
1,"Rhode Island","RI",2011,0.0155761227403922
2,"New York","NY",2011,0.0438616308992609
3,"Connecticut","CT",2011,0.0601547110230462
4,"Massachusetts-Gulf of Maine","MA",2011,0.00853680626524307
5,"Massachusetts-Virginian","MA",2011,0.00343390050277226
6,"New Hampshire","NH",2011,0.0362525086346691
7,"Maine","ME",2011,0.0130666424608929
8,"Gulf of Maine/Bay of Fundy","GOM",2011,NA
9,"Virginian","VA",2011,NA
1,"Rhode Island","RI",2012,0.0142234594889011
2,"New York","NY",2012,0.0436399037557311
3,"Connecticut","CT",2012,0.0590088245473222
4,"Massachusetts-Gulf of Maine","MA",2012,0.00811172396450926
5,"Massachusetts-Virginian","MA",2012,0.00358890214903618
6,"New Hampshire","NH",2012,0.0341538757611577
7,"Maine","ME",2012,0.0116031266359991
8,"Gulf of Maine/Bay of Fundy","GOM",2012,NA
9,"Virginian","VA",2012,NA
1,"Rhode Island","RI",2013,0.0158923230413378
2,"New York","NY",2013,0.0426047928995264
3,"Connecticut","CT",2013,0.0610218835883901
4,"Massachusetts-Gulf of Maine","MA",2013,0.00901850534753758
5,"Massachusetts-Virginian","MA",2013,0.0040277719522242
6,"New Hampshire","NH",2013,0.0382472247438244
7,"Maine","ME",2013,0.012392069732255
8,"Gulf of Maine/Bay of Fundy","GOM",2013,NA
9,"Virginian","VA",2013,NA
