"rgn_id","fao_id","assessid","RAM_area_m2"
108,"21","ICCAT-ALBANATL-1930-2015-PONS",24529399206.377
108,"21","ICCAT-ATBTUNAWATL-1950-2015-PONS",24529399206.377
108,"21","ICCAT-BIGEYEATL-1950-2010-CHING",24529399206.377
108,"21","ICCAT-BMARLINATL-1956-2010-CHING",24529399206.377
108,"21","ICCAT-SAILWATL-1956-2010-CHING",24529399206.377
108,"21","ICCAT-SKJWATL-1950-2014-PONS",24529399206.377
108,"21","ICCAT-SWORDNATL-1950-2015-PONS",24529399206.377
108,"21","ICCAT-WMARLINATL-1956-2011-CHING",24529399206.377
108,"21","ICCAT-YFINATL-1950-2011-CHING",24529399206.377
145,"21","ICCAT-ALBANATL-1930-2015-PONS",857889618426.267
145,"21","ICCAT-ATBTUNAEATL-1950-2015-PONS",57418634681.4706
145,"21","ICCAT-ATBTUNAWATL-1950-2015-PONS",800471928079.259
145,"21","ICCAT-BIGEYEATL-1950-2010-CHING",857889618427.236
145,"21","ICCAT-BMARLINATL-1956-2010-CHING",857889618427.236
145,"21","ICCAT-SAILEATL-1956-2010-CHING",57418634681.4706
145,"21","ICCAT-SAILWATL-1956-2010-CHING",800471928079.259
145,"21","ICCAT-SKJWATL-1950-2014-PONS",857889463872.362
145,"21","ICCAT-SWORDNATL-1950-2015-PONS",857889618426.267
145,"21","ICCAT-WMARLINATL-1956-2011-CHING",857889618427.236
145,"21","ICCAT-YFINATL-1950-2011-CHING",857889618427.236
163,"21","ASMFC-LOBSTERGOM-1981-2007-STANTON",53101803882.4032
163,"21","DFO-MAR-CUSK4X-1970-2007-RICARD",8741847.69225068
163,"21","DFO-MAR-SHAKE4VWX-1969-2015-OSGOOD",8741847.69640863
163,"21","DFO-PORSHARATL-1960-2014-OSGOOD",169716391945.336
163,"21","ICCAT-ALBANATL-1930-2015-PONS",488584460584.796
163,"21","ICCAT-ATBTUNAWATL-1950-2015-PONS",488584460584.796
163,"21","ICCAT-BIGEYEATL-1950-2010-CHING",488584460584.876
163,"21","ICCAT-BMARLINATL-1956-2010-CHING",488584460584.876
163,"21","ICCAT-SAILWATL-1956-2010-CHING",488584460584.796
