"assessid","stockid","stockid_ra","mgmt","assessor","country","region","area","area_code","stocklong","species","comm_name1","comm_name2","shp_source","shp_path","zone_col","zones","notes"
"ASMFC-LOBSTERGOM-1981-2007-STANTON","LOBSTERGOM",NA,"NMFS","ASMFC","USA","US East Coast","Gulf of Maine","5Y","American lobster Gulf of Maine","Homarus americanus","American lobster",NA,"NEFSC Statistical Areas","usa/nefsc_stat_areas/Statistical_Areas_2010_withNames.shp","Id","511, 512, 513, 514, 515","No EFH available; based on stat areas (Figure 1.1, pg. 185 recent assessment)"
"DFO-MAR-CUSK4X-1970-2007-RICARD","CUSK4X",NA,"DFO","DFO-MAR","Canada","Canada East Coast","Western Scotian Shelf","4X","Cusk NAFO 4X","Brosme brosme","Cusk","Torsk","NAFO GIS website","canada/nafo/Divisions.shp","ZONE","4X",NA
"DFO-MAR-SHAKE4VWX-1969-2015-OSGOOD","SHAKE4VWX","SHAKE4VWX","DFO","DFO-MAR","Canada","Canada East Coast","Scotian Shelf and Bay of Fundy","4VWX","Silver hake Scotian Shelf and Bay of Fundy","Merluccius bilinearis","Silver Hake",NA,"NAFO GIS website","canada/nafo/Divisions.shp","ZONE","4Vs, 4Vn, 4W, 4X",NA
"DFO-PORSHARATL-1960-2014-OSGOOD","PORSHARATL",NA,"DFO","DFO","Canada","Canada East Coast","Canadian Atlantic Ocean","ATL","Porbeagle shark Atlantic Ocean","Lamna nasus","Porbeagle shark",NA,"NAFO GIS website","canada/nafo/Divisions.shp","ZONE","3L, 3O, 3Pn, 3Ps, 4R, 4S, 4T, 4Vn, 4Vs, 4W, 4X, 5Y, 5Ze","Based on tagging map in assessment"
"ICCAT-ALBANATL-1930-2015-PONS","ALBANATL",NA,"ICCAT","ICCAT","Tuna-RFMO","Atlantic Ocean","Northern Atlantic","NATL","Albacore tuna North Atlantic","Thunnus alalunga","Albacore tuna",NA,"RFMO/RFB shapfile database","tuna/ICCAT_north_south_med.shp","ZONE","North Atlantic","North, South, Med - N/S by equator, Med by 5W"
"ICCAT-ATBTUNAWATL-1950-2015-PONS","ATBTUNAWATL","BTUNAWA","ICCAT","ICCAT","Tuna-RFMO","Atlantic Ocean","Western Atlantic","WATL","Bluefin tuna Western Atlantic","Thunnus thynnus","Atlantic bluefin tuna","Northern bluefin tuna","RFMO/RFB shapfile database","tuna/ICCAT_east_west_diagonal_split.shp","ZONE","West Atlantic","East and West (+Med) zones split along diagonal separator"
"ICCAT-BIGEYEATL-1950-2010-CHING","BIGEYEATL","BIGEYEATLANTIC","ICCAT","ICCAT","Tuna-RFMO","Atlantic Ocean","Atlantic Ocean","ATL","Bigeye tuna Atlantic","Thunnus obesus","Bigeye tuna",NA,"RFMO/RFB shapfile database","tuna/ICCAT_minus_med.shp","ZONE","already dissolved","Whole AoC minus Med"
"ICCAT-BMARLINATL-1956-2010-CHING","BMARLINATL",NA,"ICCAT","ICCAT","Tuna-RFMO","Atlantic Ocean","Atlantic Ocean","ATL","Blue marlin Atlantic","Makaira nigricans","Blue marlin",NA,"RFMO/RFB shapfile database","tuna/ICCAT_minus_med.shp","ZONE","already dissolved","Whole AoC minus Med"
"ICCAT-SAILWATL-1956-2010-CHING","SAILWATL",NA,"ICCAT","ICCAT","Tuna-RFMO","Atlantic Ocean","Western Atlantic","WATL","Sailfish Western Atlantic","Istiophorus albicans","Sailfish",NA,"RFMO/RFB shapfile database","tuna/ICCAT_east_west_diagonal_split.shp","ZONE","West Atlantic","East and West (+Med) zones split along diagonal separator"
"ICCAT-SKJWATL-1950-2014-PONS","SKJWATL",NA,"ICCAT","ICCAT","Tuna-RFMO","Atlantic Ocean","Western Atlantic","WATL","Skipjack tuna Western Atlantic","Katsuwonus pelamis","Skipjack tuna",NA,"RFMO/RFB shapfile database","tuna/ICCAT_east_west_30W_minus_med.shp","ZONE","West","East and West (-Med) zones split at 30W"
