code,state,county
ENU0900030010,Connecticut,Statewide
ENU0900130010,Connecticut,Fairfield
ENU0900330010,Connecticut,Hartford
ENU0900530010,Connecticut,Litchfield
ENU0900730010,Connecticut,Middlesex
ENU0900930010,Connecticut,New Haven
ENU0901130010,Connecticut,New London
ENU0901330010,Connecticut,Tolland
ENU0901530010,Connecticut,Windham
ENU0999930010,Connecticut,Unknown or Undefined
ENU2300030010,Maine,Statewide
ENU2300130010,Maine,Androscoggin
ENU2300330010,Maine,Aroostook
ENU2300530010,Maine,Cumberland
ENU2300730010,Maine,Franklin
ENU2300930010,Maine,Hancock
ENU2301130010,Maine,Kennebec
ENU2301330010,Maine,Knox
ENU2301530010,Maine,Lincoln
ENU2301730010,Maine,Oxford
ENU2301930010,Maine,Penobscot
ENU2302130010,Maine,Piscataquis
ENU2302330010,Maine,Sagadahoc
ENU2302530010,Maine,Somerset
ENU2302730010,Maine,Waldo
ENU2302930010,Maine,Washington
ENU2303130010,Maine,York
ENU2399930010,Maine,Unknown or Undefined
ENU2500030010,Massachusetts,Statewide
ENU2500130010,Massachusetts,Barnstable
ENU2500330010,Massachusetts,Berkshire
ENU2500530010,Massachusetts,Bristol
ENU2500730010,Massachusetts,Dukes
ENU2500930010,Massachusetts,Essex
ENU2501130010,Massachusetts,Franklin
ENU2501330010,Massachusetts,Hampden
ENU2501530010,Massachusetts,Hampshire
ENU2501730010,Massachusetts,Middlesex
ENU2501930010,Massachusetts,Nantucket
ENU2502130010,Massachusetts,Norfolk
ENU2502330010,Massachusetts,Plymouth
ENU2502530010,Massachusetts,Suffolk
ENU2502730010,Massachusetts,Worcester
ENU2599930010,Massachusetts,Unknown or Undefined
ENU3300030010,New Hampshire,Statewide
ENU3300130010,New Hampshire,Belknap
ENU3300330010,New Hampshire,Carroll
ENU3300530010,New Hampshire,Cheshire
ENU3300730010,New Hampshire,Coos
ENU3300930010,New Hampshire,Grafton
ENU3301130010,New Hampshire,Hillsborough
ENU3301330010,New Hampshire,Merrimack
ENU3301530010,New Hampshire,Rockingham
ENU3301730010,New Hampshire,Strafford
ENU3301930010,New Hampshire,Sullivan
ENU3399930010,New Hampshire,Unknown or Undefined
ENU4400030010,Rhode Island,Statewide
ENU4400130010,Rhode Island,Bristol
ENU4400330010,Rhode Island,Kent
ENU4400530010,Rhode Island,Newport
ENU4400730010,Rhode Island,Providence
ENU4400930010,Rhode Island,Washington
ENU4499930010,Rhode Island,Unknown or Undefined
ENU3600030010,New York,Statewide
ENU3600130010,New York,Albany
ENU3600330010,New York,Allegany
ENU3600530010,New York,Bronx
ENU3600730010,New York,Broome
ENU3600930010,New York,Cattaraugus
ENU3601130010,New York,Cayuga
ENU3601330010,New York,Chautauqua
ENU3601530010,New York,Chemung
ENU3601730010,New York,Chenango
ENU3601930010,New York,Clinton
ENU3602130010,New York,Columbia
ENU3602330010,New York,Cortland
ENU3602530010,New York,Delaware
ENU3602730010,New York,Dutchess
ENU3602930010,New York,Erie
ENU3603130010,New York,Essex
ENU3603330010,New York,Franklin
ENU3603530010,New York,Fulton
ENU3603730010,New York,Genesee
ENU3603930010,New York,Greene
ENU3604130010,New York,Hamilton
ENU3604330010,New York,Herkimer
ENU3604530010,New York,Jefferson
ENU3604730010,New York,Kings
ENU3604930010,New York,Lewis
ENU3605130010,New York,Livingston
ENU3605330010,New York,Madison
ENU3605530010,New York,Monroe
ENU3605730010,New York,Montgomery
ENU3605930010,New York,Nassau
ENU3606130010,New York,New York
ENU3606330010,New York,Niagara
ENU3606530010,New York,Oneida
ENU3606730010,New York,Onondaga
ENU3606930010,New York,Ontario
ENU3607130010,New York,Orange
ENU3607330010,New York,Orleans
ENU3607530010,New York,Oswego
ENU3607730010,New York,Otsego
ENU3607930010,New York,Putnam
ENU3608130010,New York,Queens
ENU3608330010,New York,Rensselaer
ENU3608530010,New York,Richmond
ENU3608730010,New York,Rockland
ENU3608930010,New York,St. Lawrence
ENU3609130010,New York,Saratoga
ENU3609330010,New York,Schenectady
ENU3609530010,New York,Schoharie
ENU3609730010,New York,Schuyler
ENU3609930010,New York,Seneca
ENU3610130010,New York,Steuben
ENU3610330010,New York,Suffolk
ENU3610530010,New York,Sullivan
ENU3610730010,New York,Tioga
ENU3610930010,New York,Tompkins
ENU3611130010,New York,Ulster
ENU3611330010,New York,Warren
ENU3611530010,New York,Washington
ENU3611730010,New York,Wayne
ENU3611930010,New York,Westchester
ENU3612130010,New York,Wyoming
ENU3612330010,New York,Yates
ENU3699930010,New York,Unknown or Undefined

