code,state,county
ENU0900030010,Connecticut,Statewide
ENU0900130010,Connecticut,Fairfield
ENU0900330010,Connecticut,Hartford
ENU0900530010,Connecticut,Litchfield
ENU0900730010,Connecticut,Middlesex
ENU0900930010,Connecticut,New Haven
ENU0901130010,Connecticut,New London
ENU0901330010,Connecticut,Tolland
ENU0901530010,Connecticut,Windham
ENU0999930010,Connecticut,Unknown or Undefined
ENU2300030010,Maine,Statewide
ENU2300130010,Maine,Androscoggin
ENU2300330010,Maine,Aroostook
ENU2300530010,Maine,Cumberland
ENU2300730010,Maine,Franklin
ENU2300930010,Maine,Hancock
ENU2301130010,Maine,Kennebec
ENU2301330010,Maine,Knox
ENU2301530010,Maine,Lincoln
ENU2301730010,Maine,Oxford
ENU2301930010,Maine,Penobscot
ENU2302130010,Maine,Piscataquis
ENU2302330010,Maine,Sagadahoc
ENU2302530010,Maine,Somerset
ENU2302730010,Maine,Waldo
ENU2302930010,Maine,Washington
ENU2303130010,Maine,York
ENU2399930010,Maine,Unknown or Undefined
ENU2500030010,Massachusetts,Statewide
ENU2500130010,Massachusetts,Barnstable
ENU2500330010,Massachusetts,Berkshire
ENU2500530010,Massachusetts,Bristol
ENU2500730010,Massachusetts,Dukes
ENU2500930010,Massachusetts,Essex
ENU2501130010,Massachusetts,Franklin
ENU2501330010,Massachusetts,Hampden
ENU2501530010,Massachusetts,Hampshire
ENU2501730010,Massachusetts,Middlesex
ENU2501930010,Massachusetts,Nantucket
ENU2502130010,Massachusetts,Norfolk
ENU2502330010,Massachusetts,Plymouth
ENU2502530010,Massachusetts,Suffolk
ENU2502730010,Massachusetts,Worcester
ENU2599930010,Massachusetts,Unknown or Undefined
ENU3300030010,New Hampshire,Statewide
ENU3300130010,New Hampshire,Belknap
ENU3300330010,New Hampshire,Carroll
ENU3300530010,New Hampshire,Cheshire
ENU3300730010,New Hampshire,Coos
ENU3300930010,New Hampshire,Grafton
ENU3301130010,New Hampshire,Hillsborough
ENU3301330010,New Hampshire,Merrimack
ENU3301530010,New Hampshire,Rockingham
ENU3301730010,New Hampshire,Strafford
ENU3301930010,New Hampshire,Sullivan
ENU3399930010,New Hampshire,Unknown or Undefined
ENU4400030010,Rhode Island,Statewide
ENU4400130010,Rhode Island,Bristol
ENU4400330010,Rhode Island,Kent
ENU4400530010,Rhode Island,Newport
ENU4400730010,Rhode Island,Providence
ENU4400930010,Rhode Island,Washington
ENU4499930010,Rhode Island,Unknown or Undefined
