code,state,county
ENU0900050010,Connecticut,Statewide
ENU0900150010,Connecticut,Fairfield
ENU0900350010,Connecticut,Hartford
ENU0900550010,Connecticut,Litchfield
ENU0900750010,Connecticut,Middlesex
ENU0900950010,Connecticut,New Haven
ENU0901150010,Connecticut,New London
ENU0901350010,Connecticut,Tolland
ENU0901550010,Connecticut,Windham
ENU0999950010,Connecticut,Unknown or Undefined
ENU2300050010,Maine,Statewide
ENU2300150010,Maine,Androscoggin
ENU2300350010,Maine,Aroostook
ENU2300550010,Maine,Cumberland
ENU2300750010,Maine,Franklin
ENU2300950010,Maine,Hancock
ENU2301150010,Maine,Kennebec
ENU2301350010,Maine,Knox
ENU2301550010,Maine,Lincoln
ENU2301750010,Maine,Oxford
ENU2301950010,Maine,Penobscot
ENU2302150010,Maine,Piscataquis
ENU2302350010,Maine,Sagadahoc
ENU2302550010,Maine,Somerset
ENU2302750010,Maine,Waldo
ENU2302950010,Maine,Washington
ENU2303150010,Maine,York
ENU2399950010,Maine,Unknown or Undefined
ENU2500050010,Massachusetts,Statewide
ENU2500150010,Massachusetts,Barnstable
ENU2500350010,Massachusetts,Berkshire
ENU2500550010,Massachusetts,Bristol
ENU2500750010,Massachusetts,Dukes
ENU2500950010,Massachusetts,Essex
ENU2501150010,Massachusetts,Franklin
ENU2501350010,Massachusetts,Hampden
ENU2501550010,Massachusetts,Hampshire
ENU2501750010,Massachusetts,Middlesex
ENU2501950010,Massachusetts,Nantucket
ENU2502150010,Massachusetts,Norfolk
ENU2502350010,Massachusetts,Plymouth
ENU2502550010,Massachusetts,Suffolk
ENU2502750010,Massachusetts,Worcester
ENU2599950010,Massachusetts,Unknown or Undefined
ENU3300050010,New Hampshire,Statewide
ENU3300150010,New Hampshire,Belknap
ENU3300350010,New Hampshire,Carroll
ENU3300550010,New Hampshire,Cheshire
ENU3300750010,New Hampshire,Coos
ENU3300950010,New Hampshire,Grafton
ENU3301150010,New Hampshire,Hillsborough
ENU3301350010,New Hampshire,Merrimack
ENU3301550010,New Hampshire,Rockingham
ENU3301750010,New Hampshire,Strafford
ENU3301950010,New Hampshire,Sullivan
ENU3399950010,New Hampshire,Unknown or Undefined
ENU4400050010,Rhode Island,Statewide
ENU4400150010,Rhode Island,Bristol
ENU4400350010,Rhode Island,Kent
ENU4400550010,Rhode Island,Newport
ENU4400750010,Rhode Island,Providence
ENU4400950010,Rhode Island,Washington
ENU4499950010,Rhode Island,Unknown or Undefined
ENU3600050010,New York,Statewide
ENU3600150010,New York,Albany
ENU3600350010,New York,Allegany
ENU3600550010,New York,Bronx
ENU3600750010,New York,Broome
ENU3600950010,New York,Cattaraugus
ENU3601150010,New York,Cayuga
ENU3601350010,New York,Chautauqua
ENU3601550010,New York,Chemung
ENU3601750010,New York,Chenango
ENU3601950010,New York,Clinton
ENU3602150010,New York,Columbia
ENU3602350010,New York,Cortland
ENU3602550010,New York,Delaware
ENU3602750010,New York,Dutchess
ENU3602950010,New York,Erie
ENU3603150010,New York,Essex
ENU3603350010,New York,Franklin
ENU3603550010,New York,Fulton
ENU3603750010,New York,Genesee
ENU3603950010,New York,Greene
ENU3604150010,New York,Hamilton
ENU3604350010,New York,Herkimer
ENU3604550010,New York,Jefferson
ENU3604750010,New York,Kings
ENU3604950010,New York,Lewis
ENU3605150010,New York,Livingston
ENU3605350010,New York,Madison
ENU3605550010,New York,Monroe
ENU3605750010,New York,Montgomery
ENU3605950010,New York,Nassau
ENU3606150010,New York,New York
ENU3606350010,New York,Niagara
ENU3606550010,New York,Oneida
ENU3606750010,New York,Onondaga
ENU3606950010,New York,Ontario
ENU3607150010,New York,Orange
ENU3607350010,New York,Orleans
ENU3607550010,New York,Oswego
ENU3607750010,New York,Otsego
ENU3607950010,New York,Putnam
ENU3608150010,New York,Queens
ENU3608350010,New York,Rensselaer
ENU3608550010,New York,Richmond
ENU3608750010,New York,Rockland
ENU3608950010,New York,St. Lawrence
ENU3609150010,New York,Saratoga
ENU3609350010,New York,Schenectady
ENU3609550010,New York,Schoharie
ENU3609750010,New York,Schuyler
ENU3609950010,New York,Seneca
ENU3610150010,New York,Steuben
ENU3610350010,New York,Suffolk
ENU3610550010,New York,Sullivan
ENU3610750010,New York,Tioga
ENU3610950010,New York,Tompkins
ENU3611150010,New York,Ulster
ENU3611350010,New York,Warren
ENU3611550010,New York,Washington
ENU3611750010,New York,Wayne
ENU3611950010,New York,Westchester
ENU3612150010,New York,Wyoming
ENU3612350010,New York,Yates
ENU3699950010,New York,Unknown or Undefined
