"rgn_id","rgn_name","year","pressure_score"
1,"Rhode Island",1993,0.0517125615895438
2,"New York",1993,0.0456184302816294
3,"Connecticut",1993,0.00129486440463399
4,"Massachusetts-Gulf of Maine",1993,0.000642831638050542
5,"Massachusetts-Virginian",1993,0.0414423203552331
6,"New Hampshire",1993,0
7,"Maine",1993,0.111853995955936
8,"Gulf of Maine/Bay of Fundy",1993,NA
9,"Virginian",1993,NA
1,"Rhode Island",1994,0
2,"New York",1994,0
3,"Connecticut",1994,0
4,"Massachusetts-Gulf of Maine",1994,0
5,"Massachusetts-Virginian",1994,0
6,"New Hampshire",1994,0
7,"Maine",1994,0
8,"Gulf of Maine/Bay of Fundy",1994,NA
9,"Virginian",1994,NA
1,"Rhode Island",1995,0.0252978486968878
2,"New York",1995,0.111346760543405
3,"Connecticut",1995,0.132053206697152
4,"Massachusetts-Gulf of Maine",1995,0
5,"Massachusetts-Virginian",1995,0
6,"New Hampshire",1995,0
7,"Maine",1995,0.049668667795783
8,"Gulf of Maine/Bay of Fundy",1995,NA
9,"Virginian",1995,NA
1,"Rhode Island",1996,0.186020487664136
2,"New York",1996,0.181914138328377
3,"Connecticut",1996,0.101267654432926
4,"Massachusetts-Gulf of Maine",1996,0.202390337160823
5,"Massachusetts-Virginian",1996,0.275708103310071
6,"New Hampshire",1996,0.178751987339915
7,"Maine",1996,0.22282420200797
8,"Gulf of Maine/Bay of Fundy",1996,NA
9,"Virginian",1996,NA
1,"Rhode Island",1997,0.267807789412622
2,"New York",1997,0.17045368252006
3,"Connecticut",1997,0.160695750530522
4,"Massachusetts-Gulf of Maine",1997,0.169983808374651
5,"Massachusetts-Virginian",1997,0.187070394451507
6,"New Hampshire",1997,0.30314117939533
7,"Maine",1997,0.246820007913962
8,"Gulf of Maine/Bay of Fundy",1997,NA
9,"Virginian",1997,NA
1,"Rhode Island",1998,0.499391246454527
2,"New York",1998,0.49329371424749
3,"Connecticut",1998,0.439552366105866
4,"Massachusetts-Gulf of Maine",1998,0.44655089548459
5,"Massachusetts-Virginian",1998,0.509124501608944
6,"New Hampshire",1998,0.374001521794391
7,"Maine",1998,0.362954614729479
8,"Gulf of Maine/Bay of Fundy",1998,NA
9,"Virginian",1998,NA
1,"Rhode Island",1999,0.216839681364787
2,"New York",1999,0.227581957970122
3,"Connecticut",1999,0.256235931868312
4,"Massachusetts-Gulf of Maine",1999,0.17376989230574
5,"Massachusetts-Virginian",1999,0.138798469643307
6,"New Hampshire",1999,0.339017045162339
7,"Maine",1999,0.292684717281856
8,"Gulf of Maine/Bay of Fundy",1999,NA
9,"Virginian",1999,NA
1,"Rhode Island",2000,0.157325375010045
2,"New York",2000,0.300727414553772
3,"Connecticut",2000,0.391404192733961
4,"Massachusetts-Gulf of Maine",2000,0.00619314079435921
5,"Massachusetts-Virginian",2000,0.0304121088436302
6,"New Hampshire",2000,0.0150806336207931
7,"Maine",2000,0.122387934916459
8,"Gulf of Maine/Bay of Fundy",2000,NA
9,"Virginian",2000,NA
1,"Rhode Island",2001,0.224546399493463
2,"New York",2001,0.221073319132895
3,"Connecticut",2001,0.240950365588316
4,"Massachusetts-Gulf of Maine",2001,0.257655975659166
5,"Massachusetts-Virginian",2001,0.189756644300705
6,"New Hampshire",2001,0.257105008454433
7,"Maine",2001,0.173820142826487
8,"Gulf of Maine/Bay of Fundy",2001,NA
9,"Virginian",2001,NA
1,"Rhode Island",2002,0.00395451379298397
2,"New York",2002,0.0534154514352372
