"rgn_id","rgn_name","year","pressure_score"
1,"Rhode Island",1990,0.0149286572996221
2,"New York",1990,0.00670718308234706
3,"Connecticut",1990,0.00849496554441723
4,"Massachusetts-Gulf of Maine",1990,0.0181154498761872
5,"Massachusetts-Virginian",1990,0.0170926240845346
6,"New Hampshire",1990,0.00275421269256623
7,"Maine",1990,0.0187042162757414
8,"Gulf of Maine/Bay of Fundy",1990,0.0151373742972282
9,"Virginian",1990,0.00872206302205643
1,"Rhode Island",1991,0.0834522156412768
2,"New York",1991,0.0647928016549047
3,"Connecticut",1991,0.0544041927174028
4,"Massachusetts-Gulf of Maine",1991,0.0492854880926947
5,"Massachusetts-Virginian",1991,0.062854669307662
6,"New Hampshire",1991,0.00931846965918975
7,"Maine",1991,0.0130613364836001
8,"Gulf of Maine/Bay of Fundy",1991,0.0170584054506977
9,"Virginian",1991,0.0243793042103787
1,"Rhode Island",1992,0.0827456742275995
2,"New York",1992,0.0559446452713121
3,"Connecticut",1992,0.0383434188587086
4,"Massachusetts-Gulf of Maine",1992,0.0359560676785944
5,"Massachusetts-Virginian",1992,0.0646720237940668
6,"New Hampshire",1992,0.000282359691294745
7,"Maine",1992,0.00765370030702591
8,"Gulf of Maine/Bay of Fundy",1992,0.0181591733808923
9,"Virginian",1992,0.021208073163877
1,"Rhode Island",1993,0.0752297459454814
2,"New York",1993,0.0525355263523869
3,"Connecticut",1993,0.0351820375324418
4,"Massachusetts-Gulf of Maine",1993,0.0338607363447021
5,"Massachusetts-Virginian",1993,0.0649337018148588
6,"New Hampshire",1993,0
7,"Maine",1993,0.00835622248763685
8,"Gulf of Maine/Bay of Fundy",1993,0.0208180202783552
9,"Virginian",1993,0.0209228207116336
1,"Rhode Island",1994,0.112283645207582
2,"New York",1994,0.0818334106106008
3,"Connecticut",1994,0.0545346607374613
4,"Massachusetts-Gulf of Maine",1994,0.086943268507329
5,"Massachusetts-Virginian",1994,0.113967492957502
6,"New Hampshire",1994,0.0198693243357962
7,"Maine",1994,0.0502860244851601
8,"Gulf of Maine/Bay of Fundy",1994,0.072252099532331
9,"Virginian",1994,0.0346116699041859
1,"Rhode Island",1995,0.151359305960857
2,"New York",1995,0.159165322117096
3,"Connecticut",1995,0.124412732703744
4,"Massachusetts-Gulf of Maine",1995,0.153732966585996
5,"Massachusetts-Virginian",1995,0.174130332238404
6,"New Hampshire",1995,0.0767392683005368
7,"Maine",1995,0.131739658074224
8,"Gulf of Maine/Bay of Fundy",1995,0.10337830537837
9,"Virginian",1995,0.0562057057674747
1,"Rhode Island",1996,0.0851315585749401
2,"New York",1996,0.0959408054210299
3,"Connecticut",1996,0.0804625571624431
4,"Massachusetts-Gulf of Maine",1996,0.117307441209746
5,"Massachusetts-Virginian",1996,0.11687136870117
6,"New Hampshire",1996,0.0567714840984965
7,"Maine",1996,0.128040269625181
8,"Gulf of Maine/Bay of Fundy",1996,0.0827619157364149
9,"Virginian",1996,0.0315194956619381
1,"Rhode Island",1997,0.0961331814702071
2,"New York",1997,0.11538383433529
3,"Connecticut",1997,0.0934288133260784
4,"Massachusetts-Gulf of Maine",1997,0.123154707145062
5,"Massachusetts-Virginian",1997,0.111846444620544
6,"New Hampshire",1997,0.0810052940669367
7,"Maine",1997,0.133326108550865
8,"Gulf of Maine/Bay of Fundy",1997,0.0851468885463303
9,"Virginian",1997,0.0407023847513947
1,"Rhode Island",1998,0.127337916288622
2,"New York",1998,0.180755469263355
3,"Connecticut",1998,0.182542113500284
4,"Massachusetts-Gulf of Maine",1998,0.162884588391143
5,"Massachusetts-Virginian",1998,0.16369054373917
6,"New Hampshire",1998,0.114286920942413
7,"Maine",1998,0.147427565975077
8,"Gulf of Maine/Bay of Fundy",1998,0.085570545480206
9,"Virginian",1998,0.0538431544833327
1,"Rhode Island",1999,0.227592972036889
2,"New York",1999,0.214518994451028
3,"Connecticut",1999,0.230590977790549
4,"Massachusetts-Gulf of Maine",1999,0.153478690432404
5,"Massachusetts-Virginian",1999,0.188671523476175
6,"New Hampshire",1999,0.109241898475742
7,"Maine",1999,0.151754872334818
8,"Gulf of Maine/Bay of Fundy",1999,0.139969296038669
9,"Virginian",1999,0.0769061249400577
1,"Rhode Island",2000,0.179711949054713
2,"New York",2000,0.128523548063609
3,"Connecticut",2000,0.142037759529036
4,"Massachusetts-Gulf of Maine",2000,0.0999356466683413
5,"Massachusetts-Virginian",2000,0.142926971107247
6,"New Hampshire",2000,0.0774609990772945
7,"Maine",2000,0.11978028074645
8,"Gulf of Maine/Bay of Fundy",2000,0.15198048630565
9,"Virginian",2000,0.0577747529978565
1,"Rhode Island",2001,0.212188302327256
2,"New York",2001,0.189836976011877
3,"Connecticut",2001,0.190942246502469
4,"Massachusetts-Gulf of Maine",2001,0.162199038409207
5,"Massachusetts-Virginian",2001,0.207262876447853
6,"New Hampshire",2001,0.150402166072908
7,"Maine",2001,0.151886854595397
8,"Gulf of Maine/Bay of Fundy",2001,0.208071791245561
9,"Virginian",2001,0.104734145781341
1,"Rhode Island",2002,0.303760897046322
2,"New York",2002,0.320481142328933
3,"Connecticut",2002,0.322404786921636
4,"Massachusetts-Gulf of Maine",2002,0.293636970615753
5,"Massachusetts-Virginian",2002,0.330684829307147
6,"New Hampshire",2002,0.266780498094092
7,"Maine",2002,0.239377207642153
8,"Gulf of Maine/Bay of Fundy",2002,0.313233507741094
9,"Virginian",2002,0.170942946342461
1,"Rhode Island",2003,0.293617731064216
2,"New York",2003,0.253915611566528
3,"Connecticut",2003,0.228920353083688
4,"Massachusetts-Gulf of Maine",2003,0.294023453208899
5,"Massachusetts-Virginian",2003,0.284851388207221
6,"New Hampshire",2003,0.288944001709431
7,"Maine",2003,0.237168767597585
8,"Gulf of Maine/Bay of Fundy",2003,0.321488441291906
9,"Virginian",2003,0.165513079244
1,"Rhode Island",2004,0.164953204751568
2,"New York",2004,0.19683834863501
3,"Connecticut",2004,0.154253563178268
4,"Massachusetts-Gulf of Maine",2004,0.249728784047759
5,"Massachusetts-Virginian",2004,0.192261024976629
6,"New Hampshire",2004,0.243838702086359
7,"Maine",2004,0.148205170203708
8,"Gulf of Maine/Bay of Fundy",2004,0.183322650467561
9,"Virginian",2004,0.0975818228690909
1,"Rhode Island",2005,0.19704806139878
2,"New York",2005,0.238763436608662
3,"Connecticut",2005,0.222552540453732
4,"Massachusetts-Gulf of Maine",2005,0.248132218251091
5,"Massachusetts-Virginian",2005,0.187233590519788
6,"New Hampshire",2005,0.257623012996608
7,"Maine",2005,0.0934240713287229
8,"Gulf of Maine/Bay of Fundy",2005,0.135467826362082
9,"Virginian",2005,0.0963656250682635
1,"Rhode Island",2006,0.263306011391718
2,"New York",2006,0.276336181155302
3,"Connecticut",2006,0.265706832721269
4,"Massachusetts-Gulf of Maine",2006,0.273359032004268
5,"Massachusetts-Virginian",2006,0.202538971476389
6,"New Hampshire",2006,0.288613065138213
7,"Maine",2006,0.19014889902667
