"rgn_id","rgn_name","rgn_abrev","state","year","pressure_score"
1,"Rhode Island","RI","Rhode Island",1986,0.103484717531411
2,"New York","NY","New York",1986,0.133167937536716
3,"Connecticut","CT","Connecticut",1986,0.096205495686594
4,"Massachusetts-Gulf of Maine","MA","Massachusetts",1986,0.175681319668293
5,"Massachusetts-Virginian","MA","Massachusetts",1986,0.168734947113394
6,"New Hampshire","NH","New Hampshire",1986,0.0977775551894016
7,"Maine","ME","Maine",1986,0.150352374828782
8,"Gulf of Maine/Bay of Fundy","GOM","Gulf of Maine/Bay of Fundy",1986,0.258765434931099
9,"Virginian","VA","Virginian",1986,0.255917660724358
1,"Rhode Island","RI","Rhode Island",1987,0.119758451800542
2,"New York","NY","New York",1987,0.141605523049805
3,"Connecticut","CT","Connecticut",1987,0.111170388140348
4,"Massachusetts-Gulf of Maine","MA","Massachusetts",1987,0.176317640705313
5,"Massachusetts-Virginian","MA","Massachusetts",1987,0.167922144716527
6,"New Hampshire","NH","New Hampshire",1987,0.122733867125201
7,"Maine","ME","Maine",1987,0.161539262562756
8,"Gulf of Maine/Bay of Fundy","GOM","Gulf of Maine/Bay of Fundy",1987,0.253675665893023
9,"Virginian","VA","Virginian",1987,0.267070663824075
1,"Rhode Island","RI","Rhode Island",1988,0.125208537914817
2,"New York","NY","New York",1988,0.130889227883864
3,"Connecticut","CT","Connecticut",1988,0.107000001170388
4,"Massachusetts-Gulf of Maine","MA","Massachusetts",1988,0.128141477870798
5,"Massachusetts-Virginian","MA","Massachusetts",1988,0.134172349198233
6,"New Hampshire","NH","New Hampshire",1988,0.121013773089238
7,"Maine","ME","Maine",1988,0.147187974300971
8,"Gulf of Maine/Bay of Fundy","GOM","Gulf of Maine/Bay of Fundy",1988,0.218991896108052
9,"Virginian","VA","Virginian",1988,0.256809101477049
1,"Rhode Island","RI","Rhode Island",1989,0.105128758259639
2,"New York","NY","New York",1989,0.117185251329594
3,"Connecticut","CT","Connecticut",1989,0.0996970041379948
4,"Massachusetts-Gulf of Maine","MA","Massachusetts",1989,0.101063628910992
5,"Massachusetts-Virginian","MA","Massachusetts",1989,0.12151338401964
6,"New Hampshire","NH","New Hampshire",1989,0.104329390966217
7,"Maine","ME","Maine",1989,0.118011506986622
8,"Gulf of Maine/Bay of Fundy","GOM","Gulf of Maine/Bay of Fundy",1989,0.177406041090431
9,"Virginian","VA","Virginian",1989,0.267164456878353
1,"Rhode Island","RI","Rhode Island",1990,0.1117398849705
2,"New York","NY","New York",1990,0.113224524362597
3,"Connecticut","CT","Connecticut",1990,0.0997045016919729
4,"Massachusetts-Gulf of Maine","MA","Massachusetts",1990,0.11200625456465
5,"Massachusetts-Virginian","MA","Massachusetts",1990,0.126300707909609
6,"New Hampshire","NH","New Hampshire",1990,0.100945743880797
7,"Maine","ME","Maine",1990,0.120902572553112
8,"Gulf of Maine/Bay of Fundy","GOM","Gulf of Maine/Bay of Fundy",1990,0.170244179394137
9,"Virginian","VA","Virginian",1990,0.232264197506681
1,"Rhode Island","RI","Rhode Island",1991,0.170890310249132
2,"New York","NY","New York",1991,0.161868863003818
3,"Connecticut","CT","Connecticut",1991,0.138555219513849
4,"Massachusetts-Gulf of Maine","MA","Massachusetts",1991,0.137690041801332
5,"Massachusetts-Virginian","MA","Massachusetts",1991,0.16818987633193
6,"New Hampshire","NH","New Hampshire",1991,0.108525197476331
7,"Maine","ME","Maine",1991,0.114120768241995
8,"Gulf of Maine/Bay of Fundy","GOM","Gulf of Maine/Bay of Fundy",1991,0.145832875832652
9,"Virginian","VA","Virginian",1991,0.227228985413822
1,"Rhode Island","RI","Rhode Island",1992,0.166770593437214
2,"New York","NY","New York",1992,0.153240976309297
3,"Connecticut","CT","Connecticut",1992,0.124408932370293
4,"Massachusetts-Gulf of Maine","MA","Massachusetts",1992,0.123849167891395
5,"Massachusetts-Virginian","MA","Massachusetts",1992,0.16892409728159
6,"New Hampshire","NH","New Hampshire",1992,0.0836116262680039
7,"Maine","ME","Maine",1992,0.099780768180596
8,"Gulf of Maine/Bay of Fundy","GOM","Gulf of Maine/Bay of Fundy",1992,0.131685961857379
9,"Virginian","VA","Virginian",1992,0.195724397529752
1,"Rhode Island","RI","Rhode Island",1993,0.162695942083556
2,"New York","NY","New York",1993,0.150715049448874
3,"Connecticut","CT","Connecticut",1993,0.123185020045495
4,"Massachusetts-Gulf of Maine","MA","Massachusetts",1993,0.118398696133283
5,"Massachusetts-Virginian","MA","Massachusetts",1993,0.168001627287997
6,"New Hampshire","NH","New Hampshire",1993,0.0653759734784432
7,"Maine","ME","Maine",1993,0.0958875364781806
8,"Gulf of Maine/Bay of Fundy","GOM","Gulf of Maine/Bay of Fundy",1993,0.139878413799241
9,"Virginian","VA","Virginian",1993,0.192104499818748
1,"Rhode Island","RI","Rhode Island",1994,0.199257133569669
2,"New York","NY","New York",1994,0.175275705253595
3,"Connecticut","CT","Connecticut",1994,0.1384314163846
