State,Year,Employment
Connecticut,1990,1619.6
Connecticut,1991,1557.1
Connecticut,1992,1526.4
Connecticut,1993,1531.3
Connecticut,1994,1543.9
Connecticut,1995,1561.6
Connecticut,1996,1582.6
Connecticut,1997,1607.8
Connecticut,1998,1643.5
Connecticut,1999,1669.2
Connecticut,2000,1693.3
Connecticut,2001,1681.2
Connecticut,2002,1665
Connecticut,2003,1644.6
Connecticut,2004,1649.9
Connecticut,2005,1662.1
Connecticut,2006,1680.7
Connecticut,2007,1698.3
Connecticut,2008,1699.1
Connecticut,2009,1626.6
Connecticut,2010,1608
Connecticut,2011,1623.9
Connecticut,2012,1637.5
Connecticut,2013,1650.1
Connecticut,2014,1661.5
Connecticut,2015,1674
Maine,1990,535
Maine,1991,513.5
Maine,1992,511.9
Maine,1993,519.4
Maine,1994,531.6
Maine,1995,538.1
Maine,1996,542.4
Maine,1997,553.7
Maine,1998,569.1
Maine,1999,586.3
Maine,2000,603.5
Maine,2001,608.1
Maine,2002,606.5
Maine,2003,606.8
Maine,2004,611.7
Maine,2005,611.7
Maine,2006,614.7
Maine,2007,617.7
Maine,2008,617.2
Maine,2009,596.3
Maine,2010,593
Maine,2011,594.7
Maine,2012,598.1
Maine,2013,601.7
Maine,2014,605.2
Maine,2015,609.8
Massachusetts,1990,2987.9
Massachusetts,1991,2824.8
Massachusetts,1992,2799.1
Massachusetts,1993,2844.5
Massachusetts,1994,2908.3
Massachusetts,1995,2982
Massachusetts,1996,3041.7
Massachusetts,1997,3116.5
Massachusetts,1998,3187
Massachusetts,1999,3250.4
Massachusetts,2000,3338.4
Massachusetts,2001,3350
Massachusetts,2002,3272.2
Massachusetts,2003,3214
Massachusetts,2004,3212.6
Massachusetts,2005,3231.2
Massachusetts,2006,3267.1
Massachusetts,2007,3305.3
Massachusetts,2008,3317.7
Massachusetts,2009,3211
Massachusetts,2010,3222.4
Massachusetts,2011,3259.5
Massachusetts,2012,3311.2
Massachusetts,2013,3366.7
Massachusetts,2014,3434
Massachusetts,2015,3492.9
New Hampshire,1990,508
New Hampshire,1991,482
New Hampshire,1992,486.9
New Hampshire,1993,502.4
New Hampshire,1994,523
New Hampshire,1995,539.6
New Hampshire,1996,553.6
New Hampshire,1997,570.1
New Hampshire,1998,588.9
New Hampshire,1999,605.7
New Hampshire,2000,621.9
New Hampshire,2001,627.1
New Hampshire,2002,618.2
New Hampshire,2003,617.7
New Hampshire,2004,627.2
New Hampshire,2005,636.5
New Hampshire,2006,642.9
New Hampshire,2007,648.1
New Hampshire,2008,649.6
New Hampshire,2009,628.4
New Hampshire,2010,624.6
New Hampshire,2011,628
New Hampshire,2012,634.4
New Hampshire,2013,639.5
New Hampshire,2014,646.6
New Hampshire,2015,656.2
Rhode Island,1990,454
Rhode Island,1991,424.1
Rhode Island,1992,424.2
Rhode Island,1993,430
Rhode Island,1994,434.2
Rhode Island,1995,438.9
Rhode Island,1996,440.7
Rhode Island,1997,450
Rhode Island,1998,458
Rhode Island,1999,465.5
Rhode Island,2000,476.7
Rhode Island,2001,478.4
Rhode Island,2002,479.4
Rhode Island,2003,484.3
Rhode Island,2004,488.5
Rhode Island,2005,491
Rhode Island,2006,492.9
Rhode Island,2007,491.8
Rhode Island,2008,481
Rhode Island,2009,459.4
Rhode Island,2010,458
Rhode Island,2011,460.5
Rhode Island,2012,465.4
Rhode Island,2013,471.5
Rhode Island,2014,478.8
Rhode Island,2015,484.5
