"","State","Year","coast_jobs","hist_jobs","Employment","cst_chg","hist_st_jobs","st_chg","score"
"1","Connecticut",2005,27823,27823,1662100,1,1662100,1,1
"2","Connecticut",2006,26578,27823,1680700,0.955252848362865,1662100,1.01119066241502,0.944681239521579
"3","Connecticut",2007,27300,27823,1698300,0.981202602163677,1662100,1.0217796763131,0.960287843759199
"4","Connecticut",2008,27892,27823,1699100,1.00247996262085,1662100,1.02226099512665,0.980649723896251
"5","Connecticut",2009,27316,27823,1626600,0.981777665959817,1662100,0.978641477648758,1
"6","Connecticut",2010,30778,27823,1608000,1.10620709484958,1662100,0.96745081523374,1
"7","Connecticut",2011,32188,27823,1623900,1.15688459188441,1662100,0.977017026653029,1
"8","Connecticut",2012,34031,27823,1637500,1.22312475290228,1662100,0.985199446483364,1
"9","Connecticut",2013,36322,27823,1650100,1.30546670021205,1662100,0.992780217796763,1
"10","Maine",2005,24769,24769,611700,1,611700,1,1
"11","Maine",2006,24231,24769,614700,0.978279300738827,611700,1.00490436488475,0.973504877601985
"12","Maine",2007,24409,24769,617700,0.985465703096613,611700,1.00980872976949,0.97589342817581
"13","Maine",2008,23931,24769,617200,0.966167386652671,611700,1.00899133562204,0.957557664315357
"14","Maine",2009,23662,24769,596300,0.955307037022084,611700,0.974824260258297,0.979978726390087
"15","Maine",2010,27580,24769,593000,1.11348863498728,611700,0.969429458885074,1
"16","Maine",2011,29114,24769,594700,1.17542088901449,611700,0.972208598986431,1
"17","Maine",2012,29785,24769,598100,1.20251120352053,611700,0.977766879189145,1
"18","Maine",2013,30164,24769,601700,1.21781258831604,611700,0.983652117050842,1
"19","Massachusetts",2005,57717,57717,3231200,1,3231200,1,1
"20","Massachusetts",2006,56150,57717,3267100,0.97285028674394,3231200,1.01111042337212,0.962160278695791
"21","Massachusetts",2007,60432,57717,3305300,1.04703986693695,3231200,1.02293265659817,1
"22","Massachusetts",2008,61071,57717,3317700,1.05811112843703,3231200,1.02677024015846,1
"23","Massachusetts",2009,60585,57717,3211000,1.04969073236655,3231200,0.993748452587274,1
"24","Massachusetts",2010,62068,57717,3222400,1.075385068524,3231200,0.997276553602377,1
"25","Massachusetts",2011,65368,57717,3259500,1.13256059739765,3231200,1.00875835602872,1
"26","Massachusetts",2012,67118,57717,3311200,1.16288095361852,3231200,1.02475860361476,1
"27","Massachusetts",2013,67354,57717,3366700,1.16696987022888,3231200,1.04193488487249,1
"28","New Hampshire",2005,6510,6510,636500,1,636500,1,1
"29","New Hampshire",2006,6919,6510,642900,1.06282642089094,636500,1.01005498821681,1
"30","New Hampshire",2007,6547,6510,648100,1.00568356374808,636500,1.01822466614297,0.987683364180918
"31","New Hampshire",2008,6395,6510,649600,0.982334869431644,636500,1.02058130400628,0.962524852822108
"32","New Hampshire",2009,6198,6510,628400,0.952073732718894,636500,0.987274155538099,0.964345847987868
"33","New Hampshire",2010,6380,6510,624600,0.980030721966206,636500,0.981304006284368,0.998702456822751
"34","New Hampshire",2011,6046,6510,628000,0.928725038402458,636500,0.986645718774548,0.941295361374466
"35","New Hampshire",2012,6931,6510,634400,1.06466973886329,636500,0.996700706991359,1
"36","New Hampshire",2013,7259,6510,639500,1.11505376344086,636500,1.00471327572663,1
"37","Rhode Island",2005,29565,29565,491000,1,491000,1,1
"38","Rhode Island",2006,24316,29565,492900,0.822458988669034,491000,1.00386965376782,0.819288625353005
"39","Rhode Island",2007,24993,29565,491800,0.845357686453577,491000,1.00162932790224,0.843982562116117
"40","Rhode Island",2008,25314,29565,481000,0.856215119228818,491000,0.979633401221996,0.874015849358315
"41","Rhode Island",2009,24317,29565,459400,0.82249281244715,491000,0.935641547861507,0.879068286703419
"42","Rhode Island",2010,31242,29565,458000,1.05672247590056,491000,0.932790224032587,1
"43","Rhode Island",2011,31794,29565,460500,1.0753932014206,491000,0.937881873727088,1
"44","Rhode Island",2012,32966,29565,465400,1.11503466937257,491000,0.94786150712831,1
"45","Rhode Island",2013,34087,29565,471500,1.15295112464062,491000,0.960285132382892,1
