rgn_id,year,trend
1,2012,-0.1404
1,2013,-0.0021
1,2014,0.0257
1,2015,0.0565
1,2016,0.0579
2,2012,-0.1404
2,2013,-0.0021
2,2014,0.0257
2,2015,0.0565
2,2016,0.0579
3,2012,-0.1404
3,2013,-0.0021
3,2014,0.0257
3,2015,0.0565
3,2016,0.0579
4,2012,-0.1404
4,2013,-0.0021
4,2014,0.0257
4,2015,0.0565
4,2016,0.0579
5,2012,-0.1404
5,2013,-0.0021
5,2014,0.0257
5,2015,0.0565
5,2016,0.0579
6,2012,-0.1404
6,2013,-0.0021
6,2014,0.0257
6,2015,0.0565
6,2016,0.0579
7,2012,-0.1404
7,2013,-0.0021
7,2014,0.0257
7,2015,0.0565
7,2016,0.0579
8,2012,-0.1404
8,2013,-0.0021
8,2014,0.0257
8,2015,0.0565
8,2016,0.0579
9,2012,-0.1404
9,2013,-0.0021
9,2014,0.0257
9,2015,0.0565
9,2016,0.0579
