"","state","year","rgn_id","rgn_name","ref"
"1","Connecticut",2005,3,"Connecticut",NA
"2","Maine",2005,7,"Maine",NA
"3","New York",2005,2,"New York",NA
"4","Rhode Island",2005,1,"Rhode Island",NA
"5","Massachusetts",2005,4,"Massachusetts-Gulf of Maine",NA
"6","Massachusetts",2005,5,"Massachusetts-Virginian",NA
"7","New Hampshire",2005,6,"New Hampshire",NA
"8","Connecticut",2006,3,"Connecticut",3149104000
"9","Maine",2006,7,"Maine",2120888000
"10","New York",2006,2,"New York",17274527000
"11","Rhode Island",2006,1,"Rhode Island",2035480000
"12","Massachusetts",2006,4,"Massachusetts-Gulf of Maine",1750176500
"13","Massachusetts",2006,5,"Massachusetts-Virginian",810926000
"14","New Hampshire",2006,6,"New Hampshire",458234000
"15","Connecticut",2007,3,"Connecticut",3216038000
"16","Maine",2007,7,"Maine",2206437000
"17","New York",2007,2,"New York",17932814000
"18","Rhode Island",2007,1,"Rhode Island",2052698000
"19","Massachusetts",2007,4,"Massachusetts-Gulf of Maine",1792155000
"20","Massachusetts",2007,5,"Massachusetts-Virginian",815283000
"21","New Hampshire",2007,6,"New Hampshire",482650000
"22","Connecticut",2008,3,"Connecticut",3590776000
"23","Maine",2008,7,"Maine",2212577000
"24","New York",2008,2,"New York",18919746000
"25","Rhode Island",2008,1,"Rhode Island",1977683000
"26","Massachusetts",2008,4,"Massachusetts-Gulf of Maine",1940059500
"27","Massachusetts",2008,5,"Massachusetts-Virginian",916489000
"28","New Hampshire",2008,6,"New Hampshire",429028000
"29","Connecticut",2009,3,"Connecticut",3604123000
"30","Maine",2009,7,"Maine",2110820000
"31","New York",2009,2,"New York",19513799000
"32","Rhode Island",2009,1,"Rhode Island",1950539000
"33","Massachusetts",2009,4,"Massachusetts-Gulf of Maine",1958854500
"34","Massachusetts",2009,5,"Massachusetts-Virginian",809765000
"35","New Hampshire",2009,6,"New Hampshire",318747000
"36","Connecticut",2010,3,"Connecticut",3619622000
"37","Maine",2010,7,"Maine",1997350000
"38","New York",2010,2,"New York",18670863000
"39","Rhode Island",2010,1,"Rhode Island",1806143000
"40","Massachusetts",2010,4,"Massachusetts-Gulf of Maine",1891681500
"41","Massachusetts",2010,5,"Massachusetts-Virginian",804615000
"42","New Hampshire",2010,6,"New Hampshire",306204000
"43","Connecticut",2011,3,"Connecticut",3889501000
"44","Maine",2011,7,"Maine",2154297000
"45","New York",2011,2,"New York",19912789000
"46","Rhode Island",2011,1,"Rhode Island",1905938000
"47","Massachusetts",2011,4,"Massachusetts-Gulf of Maine",2063455500
"48","Massachusetts",2011,5,"Massachusetts-Virginian",803815500
"49","New Hampshire",2011,6,"New Hampshire",333964000
"50","Connecticut",2012,3,"Connecticut",3880395000
"51","Maine",2012,7,"Maine",2169401000
"52","New York",2012,2,"New York",21148764000
"53","Rhode Island",2012,1,"Rhode Island",1939223000
"54","Massachusetts",2012,4,"Massachusetts-Gulf of Maine",2217026000
"55","Massachusetts",2012,5,"Massachusetts-Virginian",753932500
"56","New Hampshire",2012,6,"New Hampshire",358165000
"57","Connecticut",2013,3,"Connecticut",4108381000
"58","Maine",2013,7,"Maine",2157392000
"59","New York",2013,2,"New York",21955775000
"60","Rhode Island",2013,1,"Rhode Island",1999896000
"61","Massachusetts",2013,4,"Massachusetts-Gulf of Maine",2590590000
"62","Massachusetts",2013,5,"Massachusetts-Virginian",795912500
"63","New Hampshire",2013,6,"New Hampshire",447448000
"64","Connecticut",2014,3,"Connecticut",4093210000
"65","Maine",2014,7,"Maine",2152662000
"66","New York",2014,2,"New York",23094593000
"67","Rhode Island",2014,1,"Rhode Island",2140308000
"68","Massachusetts",2014,4,"Massachusetts-Gulf of Maine",2567880500
"69","Massachusetts",2014,5,"Massachusetts-Virginian",785130500
"70","New Hampshire",2014,6,"New Hampshire",447887000
