rgn_id,habitat,extent_rank
1,coral,15875.68
1,mangrove,3095.508496
1,saltmarsh,47241.0
1,seagrass,17906.0
1,seaice_shoreline,292708.333333333
2,coral,15875.68
2,mangrove,3095.508496
2,saltmarsh,47241.0
2,seagrass,17906.0
2,seaice_shoreline,292708.333333333
3,coral,15875.68
3,mangrove,3095.508496
3,saltmarsh,47241.0
3,seagrass,17906.0
3,seaice_shoreline,292708.333333333
4,coral,15875.68
4,mangrove,3095.508496
4,saltmarsh,47241.0
4,seagrass,17906.0
4,seaice_shoreline,292708.333333333
5,coral,15875.68
5,mangrove,3095.508496
5,saltmarsh,47241.0
5,seagrass,17906.0
5,seaice_shoreline,292708.333333333
6,coral,15875.68
6,mangrove,3095.508496
6,saltmarsh,47241.0
6,seagrass,17906.0
6,seaice_shoreline,292708.333333333
7,coral,15875.68
7,mangrove,3095.508496
7,saltmarsh,47241.0
7,seagrass,17906.0
7,seaice_shoreline,292708.333333333
8,coral,15875.68
8,mangrove,3095.508496
8,saltmarsh,47241.0
8,seagrass,17906.0
8,seaice_shoreline,292708.333333333
9,coral,15875.68
9,mangrove,3095.508496
9,saltmarsh,47241.0
9,seagrass,17906.0
9,seaice_shoreline,292708.333333333
