rgn_id,habitat,extent_rank
1,mangrove,201230.880325
1,saltmarsh,3306870.0
1,seagrass,1486198.0
2,mangrove,201230.880325
2,saltmarsh,3306870.0
2,seagrass,1486198.0
3,mangrove,201230.880325
3,saltmarsh,3306870.0
3,seagrass,1486198.0
4,mangrove,201230.880325
4,saltmarsh,3306870.0
4,seagrass,1486198.0
5,mangrove,201230.880325
5,saltmarsh,3306870.0
5,seagrass,1486198.0
6,mangrove,201230.880325
6,saltmarsh,3306870.0
6,seagrass,1486198.0
7,mangrove,201230.880325
7,saltmarsh,3306870.0
7,seagrass,1486198.0
8,mangrove,201230.880325
8,saltmarsh,3306870.0
8,seagrass,1486198.0
9,mangrove,201230.880325
9,saltmarsh,3306870.0
9,seagrass,1486198.0
