rgn_id,habitat,year,trend
1,mangrove,2012,-0.006538
1,mangrove,2013,-0.008117
1,mangrove,2014,-0.009989
1,mangrove,2015,-0.009556
2,mangrove,2012,-0.006538
2,mangrove,2013,-0.008117
2,mangrove,2014,-0.009989
2,mangrove,2015,-0.009556
3,mangrove,2012,-0.006538
3,mangrove,2013,-0.008117
3,mangrove,2014,-0.009989
3,mangrove,2015,-0.009556
4,mangrove,2012,-0.006538
4,mangrove,2013,-0.008117
4,mangrove,2014,-0.009989
4,mangrove,2015,-0.009556
5,mangrove,2012,-0.006538
5,mangrove,2013,-0.008117
5,mangrove,2014,-0.009989
5,mangrove,2015,-0.009556
6,mangrove,2012,-0.006538
6,mangrove,2013,-0.008117
6,mangrove,2014,-0.009989
6,mangrove,2015,-0.009556
7,mangrove,2012,-0.006538
7,mangrove,2013,-0.008117
7,mangrove,2014,-0.009989
7,mangrove,2015,-0.009556
8,mangrove,2012,-0.006538
8,mangrove,2013,-0.008117
8,mangrove,2014,-0.009989
8,mangrove,2015,-0.009556
9,mangrove,2012,-0.006538
9,mangrove,2013,-0.008117
9,mangrove,2014,-0.009989
9,mangrove,2015,-0.009556
