"","year","rgn_id","rgn_name","wage_growth_rate"
"1",2005,5,"Connecticut",NA
"2",2005,6,"Maine",NA
"3",2005,10,"New York",NA
"4",2005,11,"Rhode Island",NA
"5",2005,7,"Massachusetts-Gulf of Maine",NA
"6",2005,8,"Massachusetts-Virginian",NA
"7",2005,NA,"Massachusetts",NA
"8",2005,9,"New Hampshire",NA
"9",2006,5,"Connecticut",NA
"10",2006,6,"Maine",NA
"11",2006,10,"New York",NA
"12",2006,11,"Rhode Island",NA
"13",2006,7,"Massachusetts-Gulf of Maine",NA
"14",2006,8,"Massachusetts-Virginian",NA
"15",2006,NA,"Massachusetts",NA
"16",2006,9,"New Hampshire",NA
"17",2007,5,"Connecticut",NA
"18",2007,6,"Maine",NA
"19",2007,10,"New York",NA
"20",2007,11,"Rhode Island",NA
"21",2007,7,"Massachusetts-Gulf of Maine",NA
"22",2007,8,"Massachusetts-Virginian",NA
"23",2007,NA,"Massachusetts",NA
"24",2007,9,"New Hampshire",NA
"25",2008,5,"Connecticut",-0.0284199829241517
"26",2008,6,"Maine",-0.00620772579920226
"27",2008,10,"New York",-0.00791082830725087
"28",2008,11,"Rhode Island",-0.0287832929332406
"29",2008,7,"Massachusetts-Gulf of Maine",-0.0220002355393002
"30",2008,8,"Massachusetts-Virginian",-0.0363922939348971
"31",2008,NA,"Massachusetts",0.0415596984354716
"32",2008,9,"New Hampshire",-0.024134121621109
"33",2009,5,"Connecticut",-0.00831266899385241
"34",2009,6,"Maine",0.0024774546740598
"35",2009,10,"New York",-0.00938075211418965
"36",2009,11,"Rhode Island",-0.0144971583205455
"37",2009,7,"Massachusetts-Gulf of Maine",-0.0417877149975924
"38",2009,8,"Massachusetts-Virginian",-0.00232052664890403
"39",2009,NA,"Massachusetts",0.0345083816101104
"40",2009,9,"New Hampshire",0.0101383474796206
"41",2010,5,"Connecticut",-0.00579146628885729
"42",2010,6,"Maine",0.0123881222280826
"43",2010,10,"New York",-0.00881802703030488
"44",2010,11,"Rhode Island",-0.000164888813101172
"45",2010,7,"Massachusetts-Gulf of Maine",-0.0132771932972746
"46",2010,8,"Massachusetts-Virginian",-0.0623900570154841
"47",2010,NA,"Massachusetts",0.000273542856483067
"48",2010,9,"New Hampshire",-0.00328750571851266
"49",2011,5,"Connecticut",-0.0214396600945549
"50",2011,6,"Maine",-0.0191167939598456
"51",2011,10,"New York",-0.0300042477181789
"52",2011,11,"Rhode Island",-0.0156674587384746
"53",2011,7,"Massachusetts-Gulf of Maine",0.0231293141685629
"54",2011,8,"Massachusetts-Virginian",-0.126322328272083
"55",2011,NA,"Massachusetts",0.0709078864744765
"56",2011,9,"New Hampshire",0.0531033185446839
"57",2012,5,"Connecticut",-0.0251574010438121
"58",2012,6,"Maine",-0.0263837424327477
"59",2012,10,"New York",-0.0338408539321275
"60",2012,11,"Rhode Island",-0.00566477686832767
"61",2012,7,"Massachusetts-Gulf of Maine",0.0309565002908785
"62",2012,8,"Massachusetts-Virginian",-0.0970708980333361
"63",2012,NA,"Massachusetts",0.108112284914869
"64",2012,9,"New Hampshire",-0.0166018628224432
"65",2013,5,"Connecticut",-0.0449925660388351
"66",2013,6,"Maine",-0.0238718815283423
"67",2013,10,"New York",-0.0300143577597879
"68",2013,11,"Rhode Island",-0.000426932426723647
"69",2013,7,"Massachusetts-Gulf of Maine",0.0135453349831474
"70",2013,8,"Massachusetts-Virginian",-0.00921456933042808
"71",2013,NA,"Massachusetts",0.0292074324104075
"72",2013,9,"New Hampshire",-0.0627450342105712
"73",2014,5,"Connecticut",-0.0148712580666144
"74",2014,6,"Maine",0.0206494264266062
"75",2014,10,"New York",0.00200494420975561
"76",2014,11,"Rhode Island",0.0220213507102045
"77",2014,7,"Massachusetts-Gulf of Maine",0.0497329504971813
"78",2014,8,"Massachusetts-Virginian",0.0158620683891906
"79",2014,NA,"Massachusetts",-0.0395671876640665
"80",2014,9,"New Hampshire",-0.00531348490402206
"81",2015,5,"Connecticut",0.00976077262312147
"82",2015,6,"Maine",0.0539670043427343
"83",2015,10,"New York",0.0320244510836403
"84",2015,11,"Rhode Island",0.0476289407605903
"85",2015,7,"Massachusetts-Gulf of Maine",0.0625616702249898
"86",2015,8,"Massachusetts-Virginian",0.189222070803808
"87",2015,NA,"Massachusetts",0.040304659959552
"88",2015,9,"New Hampshire",0.114085763699082
"89",2005,1,"Offshore",NA
"90",2005,2,"Georges Bank",NA
"91",2005,3,"Gulf of Maine",NA
"92",2005,4,"Mid-Atlantic Bight",NA
"93",2006,1,"Offshore",NA
"94",2006,2,"Georges Bank",NA
"95",2006,3,"Gulf of Maine",NA
"96",2006,4,"Mid-Atlantic Bight",NA
"97",2007,1,"Offshore",NA
"98",2007,2,"Georges Bank",NA
"99",2007,3,"Gulf of Maine",NA
"100",2007,4,"Mid-Atlantic Bight",NA
"101",2008,1,"Offshore",NA
"102",2008,2,"Georges Bank",NA
"103",2008,3,"Gulf of Maine",NA
"104",2008,4,"Mid-Atlantic Bight",NA
"105",2009,1,"Offshore",NA
"106",2009,2,"Georges Bank",NA
"107",2009,3,"Gulf of Maine",NA
"108",2009,4,"Mid-Atlantic Bight",NA
"109",2010,1,"Offshore",NA
"110",2010,2,"Georges Bank",NA
"111",2010,3,"Gulf of Maine",NA
"112",2010,4,"Mid-Atlantic Bight",NA
"113",2011,1,"Offshore",NA
"114",2011,2,"Georges Bank",NA
"115",2011,3,"Gulf of Maine",NA
"116",2011,4,"Mid-Atlantic Bight",NA
"117",2012,1,"Offshore",NA
"118",2012,2,"Georges Bank",NA
"119",2012,3,"Gulf of Maine",NA
"120",2012,4,"Mid-Atlantic Bight",NA
"121",2013,1,"Offshore",NA
"122",2013,2,"Georges Bank",NA
"123",2013,3,"Gulf of Maine",NA
"124",2013,4,"Mid-Atlantic Bight",NA
"125",2014,1,"Offshore",NA
"126",2014,2,"Georges Bank",NA
"127",2014,3,"Gulf of Maine",NA
"128",2014,4,"Mid-Atlantic Bight",NA
"129",2015,1,"Offshore",NA
"130",2015,2,"Georges Bank",NA
"131",2015,3,"Gulf of Maine",NA
"132",2015,4,"Mid-Atlantic Bight",NA
