rgn_id,sector,year,value,analysis_year
1,tour,2005,1591706.48193,2012
1,tour,2006,1647899.99855,2012
1,tour,2007,1673128.45888,2012
1,tour,2008,1685365.83237,2012
1,tour,2009,1554722.18719,2012
1,tour,2010,1520051.37366,2012
1,tour,2005,1591706.48193,2013
1,tour,2006,1647899.99855,2013
1,tour,2007,1673128.45888,2013
1,tour,2008,1685365.83237,2013
1,tour,2009,1554722.18719,2013
1,tour,2010,1520051.37366,2013
2,tour,2005,1591706.48193,2012
2,tour,2006,1647899.99855,2012
2,tour,2007,1673128.45888,2012
2,tour,2008,1685365.83237,2012
2,tour,2009,1554722.18719,2012
2,tour,2010,1520051.37366,2012
2,tour,2005,1591706.48193,2013
2,tour,2006,1647899.99855,2013
2,tour,2007,1673128.45888,2013
2,tour,2008,1685365.83237,2013
2,tour,2009,1554722.18719,2013
2,tour,2010,1520051.37366,2013
3,tour,2005,1591706.48193,2012
3,tour,2006,1647899.99855,2012
3,tour,2007,1673128.45888,2012
3,tour,2008,1685365.83237,2012
3,tour,2009,1554722.18719,2012
3,tour,2010,1520051.37366,2012
3,tour,2005,1591706.48193,2013
3,tour,2006,1647899.99855,2013
3,tour,2007,1673128.45888,2013
3,tour,2008,1685365.83237,2013
3,tour,2009,1554722.18719,2013
3,tour,2010,1520051.37366,2013
4,tour,2005,1591706.48193,2012
4,tour,2006,1647899.99855,2012
4,tour,2007,1673128.45888,2012
4,tour,2008,1685365.83237,2012
4,tour,2009,1554722.18719,2012
4,tour,2010,1520051.37366,2012
4,tour,2005,1591706.48193,2013
4,tour,2006,1647899.99855,2013
4,tour,2007,1673128.45888,2013
4,tour,2008,1685365.83237,2013
4,tour,2009,1554722.18719,2013
4,tour,2010,1520051.37366,2013
5,tour,2005,1591706.48193,2012
5,tour,2006,1647899.99855,2012
5,tour,2007,1673128.45888,2012
5,tour,2008,1685365.83237,2012
5,tour,2009,1554722.18719,2012
5,tour,2010,1520051.37366,2012
5,tour,2005,1591706.48193,2013
5,tour,2006,1647899.99855,2013
5,tour,2007,1673128.45888,2013
5,tour,2008,1685365.83237,2013
5,tour,2009,1554722.18719,2013
5,tour,2010,1520051.37366,2013
6,tour,2005,1591706.48193,2012
6,tour,2006,1647899.99855,2012
6,tour,2007,1673128.45888,2012
6,tour,2008,1685365.83237,2012
6,tour,2009,1554722.18719,2012
6,tour,2010,1520051.37366,2012
6,tour,2005,1591706.48193,2013
6,tour,2006,1647899.99855,2013
6,tour,2007,1673128.45888,2013
6,tour,2008,1685365.83237,2013
6,tour,2009,1554722.18719,2013
6,tour,2010,1520051.37366,2013
7,tour,2005,1591706.48193,2012
7,tour,2006,1647899.99855,2012
7,tour,2007,1673128.45888,2012
7,tour,2008,1685365.83237,2012
7,tour,2009,1554722.18719,2012
7,tour,2010,1520051.37366,2012
7,tour,2005,1591706.48193,2013
7,tour,2006,1647899.99855,2013
7,tour,2007,1673128.45888,2013
7,tour,2008,1685365.83237,2013
7,tour,2009,1554722.18719,2013
7,tour,2010,1520051.37366,2013
8,tour,2005,1591706.48193,2012
8,tour,2006,1647899.99855,2012
8,tour,2007,1673128.45888,2012
8,tour,2008,1685365.83237,2012
8,tour,2009,1554722.18719,2012
8,tour,2010,1520051.37366,2012
8,tour,2005,1591706.48193,2013
8,tour,2006,1647899.99855,2013
8,tour,2007,1673128.45888,2013
8,tour,2008,1685365.83237,2013
8,tour,2009,1554722.18719,2013
8,tour,2010,1520051.37366,2013
9,tour,2005,1591706.48193,2012
9,tour,2006,1647899.99855,2012
9,tour,2007,1673128.45888,2012
9,tour,2008,1685365.83237,2012
9,tour,2009,1554722.18719,2012
9,tour,2010,1520051.37366,2012
9,tour,2005,1591706.48193,2013
9,tour,2006,1647899.99855,2013
9,tour,2007,1673128.45888,2013
9,tour,2008,1685365.83237,2013
9,tour,2009,1554722.18719,2013
9,tour,2010,1520051.37366,2013
