"","state","year","yr_avg_employed","rgn_id","rgn_name"
"1","Connecticut",1990,1726482.41666667,3,"Connecticut"
"2","Maine",1990,599505.583333333,7,"Maine"
"3","Massachusetts",1990,3004470.16666667,4,"Massachusetts-Gulf of Maine"
"4","Massachusetts",1990,3004470.16666667,5,"Massachusetts-Virginian"
"5","New Hampshire",1990,585013.166666667,6,"New Hampshire"
"6","New York",1990,8343352.5,2,"New York"
"7","Rhode Island",1990,492002.333333333,1,"Rhode Island"
"8","Connecticut",1991,1720655.58333333,3,"Connecticut"
"9","Maine",1991,596502.5,7,"Maine"
"10","Massachusetts",1991,2919503.41666667,4,"Massachusetts-Gulf of Maine"
"11","Massachusetts",1991,2919503.41666667,5,"Massachusetts-Virginian"
"12","New Hampshire",1991,569453.333333333,6,"New Hampshire"
"13","New York",1991,8108260.58333333,2,"New York"
"14","Rhode Island",1991,473647.833333333,1,"Rhode Island"
"15","Connecticut",1992,1689684.33333333,3,"Connecticut"
"16","Maine",1992,597354.666666667,7,"Maine"
"17","Massachusetts",1992,2912028.08333333,4,"Massachusetts-Gulf of Maine"
"18","Massachusetts",1992,2912028.08333333,5,"Massachusetts-Virginian"
"19","New Hampshire",1992,569430.416666667,6,"New Hampshire"
"20","New York",1992,7997602.25,2,"New York"
"21","Rhode Island",1992,479904.333333333,1,"Rhode Island"
"22","Connecticut",1993,1676577.5,3,"Connecticut"
"23","Maine",1993,583220.25,7,"Maine"
"24","Massachusetts",1993,2952583.41666667,4,"Massachusetts-Gulf of Maine"
"25","Massachusetts",1993,2952583.41666667,5,"Massachusetts-Virginian"
"26","New Hampshire",1993,579592.666666667,6,"New Hampshire"
"27","New York",1993,8026518,2,"New York"
"28","Rhode Island",1993,481774,1,"Rhode Island"
"29","Connecticut",1994,1657824.58333333,3,"Connecticut"
"30","Maine",1994,578253.75,7,"Maine"
"31","Massachusetts",1994,3007359.33333333,4,"Massachusetts-Gulf of Maine"
"32","Massachusetts",1994,3007359.33333333,5,"Massachusetts-Virginian"
"33","New Hampshire",1994,595329.083333333,6,"New Hampshire"
"34","New York",1994,8075912.08333333,2,"New York"
"35","Rhode Island",1994,478567.083333333,1,"Rhode Island"
"36","Connecticut",1995,1639060.08333333,3,"Connecticut"
"37","Maine",1995,599533.666666667,7,"Maine"
"38","Massachusetts",1995,3044696,4,"Massachusetts-Gulf of Maine"
"39","Massachusetts",1995,3044696,5,"Massachusetts-Virginian"
"40","New Hampshire",1995,606152.916666667,6,"New Hampshire"
"41","New York",1995,8112684.25,2,"New York"
"42","Rhode Island",1995,479080.333333333,1,"Rhode Island"
"43","Connecticut",1996,1645952.08333333,3,"Connecticut"
"44","Maine",1996,622580.25,7,"Maine"
"45","Massachusetts",1996,3097563.08333333,4,"Massachusetts-Gulf of Maine"
"46","Massachusetts",1996,3097563.08333333,5,"Massachusetts-Virginian"
"47","New Hampshire",1996,613822.333333333,6,"New Hampshire"
"48","New York",1996,8237123.08333333,2,"New York"
"49","Rhode Island",1996,488008.583333333,1,"Rhode Island"
"50","Connecticut",1997,1664912.41666667,3,"Connecticut"
"51","Maine",1997,623530.416666667,7,"Maine"
"52","Massachusetts",1997,3176133.66666667,4,"Massachusetts-Gulf of Maine"
"53","Massachusetts",1997,3176133.66666667,5,"Massachusetts-Virginian"
"54","New Hampshire",1997,627665.666666667,6,"New Hampshire"
"55","New York",1997,8432576.5,2,"New York"
"56","Rhode Island",1997,500703.5,1,"Rhode Island"
"57","Connecticut",1998,1682341.66666667,3,"Connecticut"
"58","Maine",1998,623793.416666667,7,"Maine"
"59","Massachusetts",1998,3230442.33333333,4,"Massachusetts-Gulf of Maine"
"60","Massachusetts",1998,3230442.33333333,5,"Massachusetts-Virginian"
"61","New Hampshire",1998,643055.916666667,6,"New Hampshire"
"62","New York",1998,8562174.08333333,2,"New York"
"63","Rhode Island",1998,508064.166666667,1,"Rhode Island"
"64","Connecticut",1999,1704134.33333333,3,"Connecticut"
"65","Maine",1999,642085.416666667,7,"Maine"
"66","Massachusetts",1999,3247012.41666667,4,"Massachusetts-Gulf of Maine"
"67","Massachusetts",1999,3247012.41666667,5,"Massachusetts-Virginian"
"68","New Hampshire",1999,656961.833333333,6,"New Hampshire"
"69","New York",1999,8654585.83333333,2,"New York"
"70","Rhode Island",1999,515759.916666667,1,"Rhode Island"
"71","Connecticut",2000,1721912.75,3,"Connecticut"
"72","Maine",2000,655349.25,7,"Maine"
"73","Massachusetts",2000,3240245,4,"Massachusetts-Gulf of Maine"
"74","Massachusetts",2000,3240245,5,"Massachusetts-Virginian"
"75","New Hampshire",2000,669621,6,"New Hampshire"
"76","New York",2000,8718748.66666667,2,"New York"
"77","Rhode Island",2000,521312.583333333,1,"Rhode Island"
"78","Connecticut",2001,1704773.5,3,"Connecticut"
"79","Maine",2001,648544.583333333,7,"Maine"
"80","Massachusetts",2001,3255133.91666667,4,"Massachusetts-Gulf of Maine"
"81","Massachusetts",2001,3255133.91666667,5,"Massachusetts-Virginian"
"82","New Hampshire",2001,673777.833333333,6,"New Hampshire"
"83","New York",2001,8709897,2,"New York"
"84","Rhode Island",2001,519044.416666667,1,"Rhode Island"
"85","Connecticut",2002,1697127.33333333,3,"Connecticut"
"86","Maine",2002,645934.916666667,7,"Maine"
"87","Massachusetts",2002,3250085,4,"Massachusetts-Gulf of Maine"
"88","Massachusetts",2002,3250085,5,"Massachusetts-Virginian"
"89","New Hampshire",2002,670879.833333333,6,"New Hampshire"
"90","New York",2002,8705351.58333333,2,"New York"
"91","Rhode Island",2002,522832.083333333,1,"Rhode Island"
"92","Connecticut",2003,1687924.41666667,3,"Connecticut"
"93","Maine",2003,649571.25,7,"Maine"
"94","Massachusetts",2003,3226980.66666667,4,"Massachusetts-Gulf of Maine"
"95","Massachusetts",2003,3226980.66666667,5,"Massachusetts-Virginian"
"96","New Hampshire",2003,677030.416666667,6,"New Hampshire"
"97","New York",2003,8672909,2,"New York"
"98","Rhode Island",2003,530567,1,"Rhode Island"
"99","Connecticut",2004,1686213.08333333,3,"Connecticut"
"100","Maine",2004,654160.583333333,7,"Maine"
"101","Massachusetts",2004,3220837.75,4,"Massachusetts-Gulf of Maine"
"102","Massachusetts",2004,3220837.75,5,"Massachusetts-Virginian"
"103","New Hampshire",2004,689150.25,6,"New Hampshire"
"104","New York",2004,8812617.83333333,2,"New York"
"105","Rhode Island",2004,529892.75,1,"Rhode Island"
"106","Connecticut",2005,1709381.83333333,3,"Connecticut"
"107","Maine",2005,663131.833333333,7,"Maine"
"108","Massachusetts",2005,3220089,4,"Massachusetts-Gulf of Maine"
"109","Massachusetts",2005,3220089,5,"Massachusetts-Virginian"
"110","New Hampshire",2005,700025.666666667,6,"New Hampshire"
"111","New York",2005,8986858.58333333,2,"New York"
"112","Rhode Island",2005,537194.333333333,1,"Rhode Island"
"113","Connecticut",2006,1749191.41666667,3,"Connecticut"
"114","Maine",2006,669554.083333333,7,"Maine"
"115","Massachusetts",2006,3246316.25,4,"Massachusetts-Gulf of Maine"
"116","Massachusetts",2006,3246316.25,5,"Massachusetts-Virginian"
"117","New Hampshire",2006,706776.75,6,"New Hampshire"
"118","New York",2006,9077529.41666667,2,"New York"
"119","Rhode Island",2006,544356.666666667,1,"Rhode Island"
"120","Connecticut",2007,1773159.25,3,"Connecticut"
"121","Maine",2007,667781.25,7,"Maine"
"122","Massachusetts",2007,3268095.58333333,4,"Massachusetts-Gulf of Maine"
"123","Massachusetts",2007,3268095.58333333,5,"Massachusetts-Virginian"
"124","New Hampshire",2007,712008.333333333,6,"New Hampshire"
"125","New York",2007,9088207.33333333,2,"New York"
"126","Rhode Island",2007,543401,1,"Rhode Island"
"127","Connecticut",2008,1774680.91666667,3,"Connecticut"
"128","Maine",2008,663157.583333333,7,"Maine"
"129","Massachusetts",2008,3261408.08333333,4,"Massachusetts-Gulf of Maine"
"130","Massachusetts",2008,3261408.08333333,5,"Massachusetts-Virginian"
"131","New Hampshire",2008,714103.75,6,"New Hampshire"
"132","New York",2008,9139079.91666667,2,"New York"
"133","Rhode Island",2008,525941.166666667,1,"Rhode Island"
"134","Connecticut",2009,1740971,3,"Connecticut"
"135","Maine",2009,639954.416666667,7,"Maine"
