"","state","year","rgn_id","rgn_name","ref"
"1","Connecticut",2010,3,"Connecticut",1749476.88333333
"2","Maine",2010,7,"Maine",660715.833333333
"3","Massachusetts",2010,4,"Massachusetts-Gulf of Maine",3236983.83333333
"4","Massachusetts",2010,5,"Massachusetts-Virginian",3236983.83333333
"5","New Hampshire",2010,6,"New Hampshire",706143.233333333
"6","New York",2010,2,"New York",9027232.2
"7","Rhode Island",2010,1,"Rhode Island",531168.883333333
"8","Connecticut",2011,3,"Connecticut",1755090.4
"9","Maine",2011,7,"Maine",655815.383333333
"10","Massachusetts",2011,4,"Massachusetts-Gulf of Maine",3231129.58333333
"11","Massachusetts",2011,5,"Massachusetts-Virginian",3231129.58333333
"12","New Hampshire",2011,6,"New Hampshire",705165.05
"13","New York",2011,2,"New York",8983805.13333333
"14","Rhode Island",2011,1,"Rhode Island",524373.183333333
"15","Connecticut",2012,3,"Connecticut",1754445.41666667
"16","Maine",2012,7,"Maine",650721.55
"17","Massachusetts",2012,4,"Massachusetts-Gulf of Maine",3225417.13333333
"18","Massachusetts",2012,5,"Massachusetts-Virginian",3225417.13333333
"19","New Hampshire",2012,6,"New Hampshire",703116.166666667
"20","New York",2012,2,"New York",8913910.73333333
"21","Rhode Island",2012,1,"Rhode Island",515151.433333333
"22","Connecticut",2013,3,"Connecticut",1745781.13333333
"23","Maine",2013,7,"Maine",647188.666666667
"24","Massachusetts",2013,4,"Massachusetts-Gulf of Maine",3222304.3
"25","Massachusetts",2013,5,"Massachusetts-Virginian",3222304.3
"26","New Hampshire",2013,6,"New Hampshire",700788.733333333
"27","New York",2013,2,"New York",8854946.18333333
"28","Rhode Island",2013,1,"Rhode Island",506557.966666667
"29","Connecticut",2014,3,"Connecticut",1735630.7
"30","Maine",2014,7,"Maine",646644.133333333
"31","Massachusetts",2014,4,"Massachusetts-Gulf of Maine",3224998.73333333
"32","Massachusetts",2014,5,"Massachusetts-Virginian",3224998.73333333
"33","New Hampshire",2014,6,"New Hampshire",698829.983333333
"34","New York",2014,2,"New York",8803363.7
"35","Rhode Island",2014,1,"Rhode Island",502490.75
"36","Connecticut",2015,3,"Connecticut",1739258.58333333
"37","Maine",2015,7,"Maine",650123.666666667
"38","Massachusetts",2015,4,"Massachusetts-Gulf of Maine",3257028.73333333
"39","Massachusetts",2015,5,"Massachusetts-Virginian",3257028.73333333
"40","New Hampshire",2015,6,"New Hampshire",701134.6
"41","New York",2015,2,"New York",8827553.96666667
"42","Rhode Island",2015,1,"Rhode Island",504039.516666667
"43","Connecticut",2016,3,"Connecticut",1748222.51666667
"44","Maine",2016,7,"Maine",652953.216666667
"45","Massachusetts",2016,4,"Massachusetts-Gulf of Maine",3300030.25
"46","Massachusetts",2016,5,"Massachusetts-Virginian",3300030.25
"47","New Hampshire",2016,6,"New Hampshire",705652.766666667
"48","New York",2016,2,"New York",8890528.03333333
"49","Rhode Island",2016,1,"Rhode Island",507480.7
