"","state","year","rgn_id","rgn_name","ref"
"1","Massachusetts",2010,4,"Massachusetts-Gulf of Maine",54157.4
"2","Massachusetts",2010,5,"Massachusetts-Virginian",54157.4
"3","Maine",2010,7,"Maine",34911.6
"4","New Hampshire",2010,6,"New Hampshire",43341
"5","Connecticut",2010,3,"Connecticut",56392.6
"6","Rhode Island",2010,1,"Rhode Island",41463.8
"7","New York",2010,2,"New York",56976.4
"8","Massachusetts",2011,4,"Massachusetts-Gulf of Maine",55692.4
"9","Massachusetts",2011,5,"Massachusetts-Virginian",55692.4
"10","Maine",2011,7,"Maine",35839
"11","New Hampshire",2011,6,"New Hampshire",44422.2
"12","Connecticut",2011,3,"Connecticut",57694.8
"13","Rhode Island",2011,1,"Rhode Island",42642.6
"14","New York",2011,2,"New York",58647.2
"15","Massachusetts",2012,4,"Massachusetts-Gulf of Maine",57139.6
"16","Massachusetts",2012,5,"Massachusetts-Virginian",57139.6
"17","Maine",2012,7,"Maine",36684.2
"18","New Hampshire",2012,6,"New Hampshire",45389
"19","Connecticut",2012,3,"Connecticut",58961
"20","Rhode Island",2012,1,"Rhode Island",43692.8
"21","New York",2012,2,"New York",59909.8
"22","Massachusetts",2013,4,"Massachusetts-Gulf of Maine",58270.4
"23","Massachusetts",2013,5,"Massachusetts-Virginian",58270.4
"24","Maine",2013,7,"Maine",37379.6
"25","New Hampshire",2013,6,"New Hampshire",46270.8
"26","Connecticut",2013,3,"Connecticut",59772.2
"27","Rhode Island",2013,1,"Rhode Island",44706.8
"28","New York",2013,2,"New York",60555.8
"29","Massachusetts",2014,4,"Massachusetts-Gulf of Maine",59279.2
"30","Massachusetts",2014,5,"Massachusetts-Virginian",59279.2
"31","Maine",2014,7,"Maine",37972
"32","New Hampshire",2014,6,"New Hampshire",47081
"33","Connecticut",2014,3,"Connecticut",60564.6
"34","Rhode Island",2014,1,"Rhode Island",45647.4
"35","New York",2014,2,"New York",61116
