rgn_id,year,percent
1,2005,5.08233939
1,2006,4.62394918
1,2007,4.62174447
1,2008,5.78410085
1,2009,9.25587129
1,2010,7.1260133258
2,2005,5.08233939
2,2006,4.62394918
2,2007,4.62174447
2,2008,5.78410085
2,2009,9.25587129
2,2010,7.1260133258
3,2005,5.08233939
3,2006,4.62394918
3,2007,4.62174447
3,2008,5.78410085
3,2009,9.25587129
3,2010,7.1260133258
4,2005,5.08233939
4,2006,4.62394918
4,2007,4.62174447
4,2008,5.78410085
4,2009,9.25587129
4,2010,7.1260133258
5,2005,5.08233939
5,2006,4.62394918
5,2007,4.62174447
5,2008,5.78410085
5,2009,9.25587129
5,2010,7.1260133258
6,2005,5.08233939
6,2006,4.62394918
6,2007,4.62174447
6,2008,5.78410085
6,2009,9.25587129
6,2010,7.1260133258
7,2005,5.08233939
7,2006,4.62394918
7,2007,4.62174447
7,2008,5.78410085
7,2009,9.25587129
7,2010,7.1260133258
8,2005,5.08233939
8,2006,4.62394918
8,2007,4.62174447
8,2008,5.78410085
8,2009,9.25587129
8,2010,7.1260133258
9,2005,5.08233939
9,2006,4.62394918
9,2007,4.62174447
9,2008,5.78410085
9,2009,9.25587129
9,2010,7.1260133258
