State,Year,yr_avg_employed
Connecticut,1990,1726482.4166666667
Maine,1990,599505.5833333334
Massachusetts,1990,3004470.1666666665
New Hampshire,1990,585013.1666666666
New York,1990,8343352.5
Rhode Island,1990,492002.3333333333
Connecticut,1991,1720655.5833333333
Maine,1991,596502.5
Massachusetts,1991,2919503.4166666665
New Hampshire,1991,569453.3333333334
New York,1991,8108260.583333333
Rhode Island,1991,473647.8333333333
Connecticut,1992,1689684.3333333333
Maine,1992,597354.6666666666
Massachusetts,1992,2912028.0833333335
New Hampshire,1992,569430.4166666666
New York,1992,7997602.25
Rhode Island,1992,479904.3333333333
Connecticut,1993,1676577.5
Maine,1993,583220.25
Massachusetts,1993,2952583.4166666665
New Hampshire,1993,579592.6666666666
New York,1993,8026518
Rhode Island,1993,481774
Connecticut,1994,1657824.5833333333
Maine,1994,578253.75
Massachusetts,1994,3007359.3333333335
New Hampshire,1994,595329.0833333334
New York,1994,8075912.083333333
Rhode Island,1994,478567.0833333333
Connecticut,1995,1639060.0833333333
Maine,1995,599533.6666666666
Massachusetts,1995,3044696
New Hampshire,1995,606152.9166666666
New York,1995,8112684.25
Rhode Island,1995,479080.3333333333
Connecticut,1996,1645952.0833333333
Maine,1996,622580.25
Massachusetts,1996,3097563.0833333335
New Hampshire,1996,613822.3333333334
New York,1996,8237123.083333333
Rhode Island,1996,488008.5833333333
Connecticut,1997,1664912.4166666667
Maine,1997,623530.4166666666
Massachusetts,1997,3176133.6666666665
New Hampshire,1997,627665.6666666666
New York,1997,8432576.5
Rhode Island,1997,500703.5
Connecticut,1998,1682341.6666666667
Maine,1998,623793.4166666666
Massachusetts,1998,3230442.3333333335
New Hampshire,1998,643055.9166666666
New York,1998,8562174.083333334
Rhode Island,1998,508064.1666666667
Connecticut,1999,1704134.3333333333
Maine,1999,642085.4166666666
Massachusetts,1999,3247012.4166666665
New Hampshire,1999,656961.8333333334
New York,1999,8654585.833333334
Rhode Island,1999,515759.9166666667
Connecticut,2e3,1721912.75
Maine,2e3,655349.25
Massachusetts,2e3,3240245
New Hampshire,2e3,669621
New York,2e3,8718748.666666666
Rhode Island,2e3,521312.5833333333
Connecticut,2001,1704773.5
Maine,2001,648544.5833333334
Massachusetts,2001,3255133.9166666665
New Hampshire,2001,673777.8333333334
New York,2001,8709897
Rhode Island,2001,519044.4166666667
Connecticut,2002,1697127.3333333333
Maine,2002,645934.9166666666
Massachusetts,2002,3250085
New Hampshire,2002,670879.8333333334
New York,2002,8705351.583333334
Rhode Island,2002,522832.0833333333
Connecticut,2003,1687924.4166666667
Maine,2003,649571.25
Massachusetts,2003,3226980.6666666665
New Hampshire,2003,677030.4166666666
New York,2003,8672909
Rhode Island,2003,530567
Connecticut,2004,1686213.0833333333
Maine,2004,654160.5833333334
Massachusetts,2004,3220837.75
New Hampshire,2004,689150.25
New York,2004,8812617.833333334
Rhode Island,2004,529892.75
Connecticut,2005,1709381.8333333333
Maine,2005,663131.8333333334
Massachusetts,2005,3220089
New Hampshire,2005,700025.6666666666
New York,2005,8986858.583333334
Rhode Island,2005,537194.3333333334
Connecticut,2006,1749191.4166666667
Maine,2006,669554.0833333334
Massachusetts,2006,3246316.25
New Hampshire,2006,706776.75
New York,2006,9077529.416666666
Rhode Island,2006,544356.6666666666
Connecticut,2007,1773159.25
Maine,2007,667781.25
Massachusetts,2007,3268095.5833333335
New Hampshire,2007,712008.3333333334
New York,2007,9088207.333333334
Rhode Island,2007,543401
Connecticut,2008,1774680.9166666667
Maine,2008,663157.5833333334
Massachusetts,2008,3261408.0833333335
New Hampshire,2008,714103.75
New York,2008,9139079.916666666
Rhode Island,2008,525941.1666666666
Connecticut,2009,1740971
Maine,2009,639954.4166666666
Massachusetts,2009,3189010.25
New Hampshire,2009,697801.6666666666
New York,2009,8844485.75
Rhode Island,2009,504951.25
Connecticut,2010,1737449.4166666667
Maine,2010,638629.5833333334
Massachusetts,2010,3190817.75
New Hampshire,2010,695134.75
New York,2010,8769723.25
Rhode Island,2010,503215.8333333333
Connecticut,2011,1745966.5
Maine,2011,644084.9166666666
Massachusetts,2011,3217754
New Hampshire,2011,696532.3333333334
New York,2011,8728057.416666666
Rhode Island,2011,498247.9166666667
Connecticut,2012,1729837.8333333333
Maine,2012,650116.8333333334
Massachusetts,2012,3252531.4166666665
New Hampshire,2012,700371.1666666666
New York,2012,8793384.583333334
Rhode Island,2012,500433.6666666667
Connecticut,2013,1723928.75
Maine,2013,660434.9166666666
Massachusetts,2013,3274880.25
New Hampshire,2013,704310
New York,2013,8881167.5
Rhode Island,2013,505605.0833333333
Connecticut,2014,1759110.4166666667
Maine,2014,657352.0833333334
Massachusetts,2014,3349160.25
New Hampshire,2014,709324.75
New York,2014,8965437.083333334
Rhode Island,2014,512695.0833333333
Connecticut,2015,1782269.0833333333
Maine,2015,652777.3333333334
Massachusetts,2015,3405825.3333333335
New Hampshire,2015,717725.5833333334
New York,2015,9084593.583333334
Rhode Island,2015,520421.75
Connecticut,2016,1795519.25
Maine,2016,664009.8333333334
Massachusetts,2016,3455827.4166666665
New Hampshire,2016,727420.3333333334
New York,2016,9121323.416666666
Rhode Island,2016,522811.9166666667
