rgn_id,year,a_prot_1km
1,2000,23778.5
1,2001,23788.75
1,2002,23876.25
1,2003,23884
1,2004,23890.5
1,2005,23908.75
1,2006,23992.5
1,2007,24e3
1,2008,24017
1,2009,24028
1,2010,25829.75
1,2011,25845.25
1,2012,25869.75
1,2013,25870.75
1,2014,25873.25
1,2015,25873.25
1,2016,25873.25
1,2017,25873.25
2,2000,23778.5
2,2001,23788.75
2,2002,23876.25
2,2003,23884
2,2004,23890.5
2,2005,23908.75
2,2006,23992.5
2,2007,24e3
2,2008,24017
2,2009,24028
2,2010,25829.75
2,2011,25845.25
2,2012,25869.75
2,2013,25870.75
2,2014,25873.25
2,2015,25873.25
2,2016,25873.25
2,2017,25873.25
3,2000,23778.5
3,2001,23788.75
3,2002,23876.25
3,2003,23884
3,2004,23890.5
3,2005,23908.75
3,2006,23992.5
3,2007,24e3
3,2008,24017
3,2009,24028
3,2010,25829.75
3,2011,25845.25
3,2012,25869.75
3,2013,25870.75
3,2014,25873.25
3,2015,25873.25
3,2016,25873.25
3,2017,25873.25
4,2000,23778.5
4,2001,23788.75
4,2002,23876.25
4,2003,23884
4,2004,23890.5
4,2005,23908.75
4,2006,23992.5
4,2007,24e3
4,2008,24017
4,2009,24028
4,2010,25829.75
4,2011,25845.25
4,2012,25869.75
4,2013,25870.75
4,2014,25873.25
4,2015,25873.25
4,2016,25873.25
4,2017,25873.25
5,2000,23778.5
5,2001,23788.75
5,2002,23876.25
5,2003,23884
5,2004,23890.5
5,2005,23908.75
5,2006,23992.5
5,2007,24e3
5,2008,24017
5,2009,24028
5,2010,25829.75
5,2011,25845.25
5,2012,25869.75
5,2013,25870.75
5,2014,25873.25
5,2015,25873.25
5,2016,25873.25
5,2017,25873.25
6,2000,23778.5
6,2001,23788.75
6,2002,23876.25
6,2003,23884
6,2004,23890.5
6,2005,23908.75
6,2006,23992.5
6,2007,24e3
6,2008,24017
6,2009,24028
6,2010,25829.75
6,2011,25845.25
6,2012,25869.75
6,2013,25870.75
6,2014,25873.25
6,2015,25873.25
6,2016,25873.25
6,2017,25873.25
7,2000,23778.5
7,2001,23788.75
7,2002,23876.25
7,2003,23884
7,2004,23890.5
7,2005,23908.75
7,2006,23992.5
7,2007,24e3
7,2008,24017
7,2009,24028
7,2010,25829.75
7,2011,25845.25
7,2012,25869.75
7,2013,25870.75
7,2014,25873.25
7,2015,25873.25
7,2016,25873.25
7,2017,25873.25
8,2000,23778.5
8,2001,23788.75
8,2002,23876.25
8,2003,23884
8,2004,23890.5
8,2005,23908.75
8,2006,23992.5
8,2007,24e3
8,2008,24017
8,2009,24028
8,2010,25829.75
8,2011,25845.25
8,2012,25869.75
8,2013,25870.75
8,2014,25873.25
8,2015,25873.25
8,2016,25873.25
8,2017,25873.25
9,2000,23778.5
9,2001,23788.75
9,2002,23876.25
9,2003,23884
9,2004,23890.5
9,2005,23908.75
9,2006,23992.5
9,2007,24e3
9,2008,24017
9,2009,24028
9,2010,25829.75
9,2011,25845.25
9,2012,25869.75
9,2013,25870.75
9,2014,25873.25
9,2015,25873.25
9,2016,25873.25
9,2017,25873.25
