rgn_id,taxa_code,year,tonnes
1,Abalones nei_524,1985,23
1,Abalones nei_524,1986,281
1,Abalones nei_524,1987,0
1,Abalones nei_524,1988,56
1,Abalones nei_524,1989,0
1,Abalones nei_524,1990,0
1,Abalones nei_524,1991,0
1,Abalones nei_524,1992,0
1,Abalones nei_524,1993,0
1,Abalones nei_524,1994,0
1,Abalones nei_524,1995,0
1,Abalones nei_524,1996,265
1,Abalones nei_524,1997,265
1,Abalones nei_524,1998,0
1,Abalones nei_524,1999,0
1,Abalones nei_524,2000,0
1,Abalones nei_524,2001,0
1,Abalones nei_524,2002,0
1,Abalones nei_524,2003,0
1,Abalones nei_524,2004,262
1,Abalones nei_524,2005,253
1,Abalones nei_524,2006,175
1,Abalones nei_524,2007,175
1,Abalones nei_524,2008,175
1,Abalones nei_524,2009,200
1,Abalones nei_524,2010,250
1,Abalones nei_524,2011,250
1,Abalones nei_524,2012,250
1,Abalones nei_524,2013,201
1,Abalones nei_524,2014,341
1,Abalones nei_524,2015,341
1,Amberjacks nei_525,2005,26
1,Amberjacks nei_525,2006,154
1,Amberjacks nei_525,2007,330
1,Amberjacks nei_525,2008,473
1,Amberjacks nei_525,2009,251
1,Amberjacks nei_525,2010,400
1,Amberjacks nei_525,2011,400
1,Amberjacks nei_525,2012,400
1,Amberjacks nei_525,2013,400
1,Amberjacks nei_525,2014,400
1,Amberjacks nei_525,2015,400
1,American cupped oyster_526,1950,25e3
1,American cupped oyster_526,1951,3e4
1,American cupped oyster_526,1952,35e3
1,American cupped oyster_526,1953,35e3
1,American cupped oyster_526,1954,4e4
1,American cupped oyster_526,1955,5e4
1,American cupped oyster_526,1956,5e4
1,American cupped oyster_526,1957,5e4
1,American cupped oyster_526,1958,45e3
1,American cupped oyster_526,1959,55e3
1,American cupped oyster_526,1960,6e4
1,American cupped oyster_526,1961,6e4
1,American cupped oyster_526,1962,65e3
1,American cupped oyster_526,1963,8e4
1,American cupped oyster_526,1964,8e4
1,American cupped oyster_526,1965,75e3
1,American cupped oyster_526,1966,7e4
1,American cupped oyster_526,1967,8e4
1,American cupped oyster_526,1968,8e4
1,American cupped oyster_526,1969,7e4
1,American cupped oyster_526,1970,102300
1,American cupped oyster_526,1971,101e3
1,American cupped oyster_526,1972,99600
1,American cupped oyster_526,1973,98200
1,American cupped oyster_526,1974,96850
1,American cupped oyster_526,1975,129060
1,American cupped oyster_526,1976,94100
1,American cupped oyster_526,1977,85e3
1,American cupped oyster_526,1978,8e4
1,American cupped oyster_526,1979,67400
1,American cupped oyster_526,1980,65800
1,American cupped oyster_526,1981,87200
1,American cupped oyster_526,1982,85900
1,American cupped oyster_526,1983,84500
1,American cupped oyster_526,1984,102889
1,American cupped oyster_526,1985,95740
1,American cupped oyster_526,1986,89268
1,American cupped oyster_526,1987,80893
1,American cupped oyster_526,1988,78861
1,American cupped oyster_526,1989,76807
1,American cupped oyster_526,1990,31835
1,American cupped oyster_526,1991,69013
1,American cupped oyster_526,1992,83544
1,American cupped oyster_526,1993,74611
1,American cupped oyster_526,1994,60873
1,American cupped oyster_526,1995,73991
1,American cupped oyster_526,1996,57005
1,American cupped oyster_526,1997,63166
1,American cupped oyster_526,1998,53097
1,American cupped oyster_526,1999,54037
1,American cupped oyster_526,2000,38255
1,American cupped oyster_526,2001,40629
1,American cupped oyster_526,2002,49539
1,American cupped oyster_526,2003,65632
1,American cupped oyster_526,2004,105287
1,American cupped oyster_526,2005,55188
1,American cupped oyster_526,2006,9e4
