rgn_id,year,taxa_code,sust_coeff
1,2012,Abalones nei_524,0.5
1,2012,Amberjacks nei_525,0.444010417
1,2012,American cupped oyster_526,0.887878788
1,2012,Atlantic salmon_527,0.37
1,2012,Blue crab_528,0.416666667
1,2012,Blue mussel_529,0.93
1,2012,Butter clam_530,0.811764706
1,2012,Chinook(=Spring=King) salmon_531,0.370833333
1,2012,"Clams, etc. nei_532",0.766666667
1,2012,Cockles nei_533,0.811764706
1,2012,Coho(=Silver) salmon_534,0.37
1,2012,Cupped oysters nei_535,1
1,2012,European flat oyster_536,0.83
1,2012,Flat oysters nei_537,0.87
1,2012,Japanese carpet shell_538,0.841666667
1,2012,Northern quahog(=Hard clam)_539,0.811764706
1,2012,Northern white shrimp_540,0.366666667
1,2012,Olympia oyster_541,0.811764706
1,2012,Pacific cupped oyster_542,0.9
1,2012,Pacific geoduck_543,0.811764706
1,2012,Pacific horse clam_544,0.811764706
1,2012,Pacific littleneck clam_545,0.811764706
1,2012,Rainbow trout_546,0.566666667
1,2012,Red drum_547,0.366666667
1,2012,Sand gaper_548,0.811764706
1,2012,Whiteleg shrimp_549,0.43
2,2012,Abalones nei_524,0.5
2,2012,Amberjacks nei_525,0.444010417
2,2012,American cupped oyster_526,0.887878788
2,2012,Atlantic salmon_527,0.37
2,2012,Blue crab_528,0.416666667
2,2012,Blue mussel_529,0.93
2,2012,Butter clam_530,0.811764706
2,2012,Chinook(=Spring=King) salmon_531,0.370833333
2,2012,"Clams, etc. nei_532",0.766666667
2,2012,Cockles nei_533,0.811764706
2,2012,Coho(=Silver) salmon_534,0.37
2,2012,Cupped oysters nei_535,1
2,2012,European flat oyster_536,0.83
2,2012,Flat oysters nei_537,0.87
2,2012,Japanese carpet shell_538,0.841666667
2,2012,Northern quahog(=Hard clam)_539,0.811764706
2,2012,Northern white shrimp_540,0.366666667
2,2012,Olympia oyster_541,0.811764706
2,2012,Pacific cupped oyster_542,0.9
2,2012,Pacific geoduck_543,0.811764706
2,2012,Pacific horse clam_544,0.811764706
2,2012,Pacific littleneck clam_545,0.811764706
2,2012,Rainbow trout_546,0.566666667
2,2012,Red drum_547,0.366666667
2,2012,Sand gaper_548,0.811764706
2,2012,Whiteleg shrimp_549,0.43
3,2012,Abalones nei_524,0.5
3,2012,Amberjacks nei_525,0.444010417
3,2012,American cupped oyster_526,0.887878788
3,2012,Atlantic salmon_527,0.37
3,2012,Blue crab_528,0.416666667
3,2012,Blue mussel_529,0.93
3,2012,Butter clam_530,0.811764706
3,2012,Chinook(=Spring=King) salmon_531,0.370833333
3,2012,"Clams, etc. nei_532",0.766666667
3,2012,Cockles nei_533,0.811764706
3,2012,Coho(=Silver) salmon_534,0.37
3,2012,Cupped oysters nei_535,1
3,2012,European flat oyster_536,0.83
3,2012,Flat oysters nei_537,0.87
3,2012,Japanese carpet shell_538,0.841666667
3,2012,Northern quahog(=Hard clam)_539,0.811764706
3,2012,Northern white shrimp_540,0.366666667
3,2012,Olympia oyster_541,0.811764706
3,2012,Pacific cupped oyster_542,0.9
3,2012,Pacific geoduck_543,0.811764706
3,2012,Pacific horse clam_544,0.811764706
3,2012,Pacific littleneck clam_545,0.811764706
3,2012,Rainbow trout_546,0.566666667
3,2012,Red drum_547,0.366666667
3,2012,Sand gaper_548,0.811764706
3,2012,Whiteleg shrimp_549,0.43
4,2012,Abalones nei_524,0.5
4,2012,Amberjacks nei_525,0.444010417
4,2012,American cupped oyster_526,0.887878788
4,2012,Atlantic salmon_527,0.37
4,2012,Blue crab_528,0.416666667
4,2012,Blue mussel_529,0.93
4,2012,Butter clam_530,0.811764706
4,2012,Chinook(=Spring=King) salmon_531,0.370833333
4,2012,"Clams, etc. nei_532",0.766666667
4,2012,Cockles nei_533,0.811764706
4,2012,Coho(=Silver) salmon_534,0.37
4,2012,Cupped oysters nei_535,1
4,2012,European flat oyster_536,0.83
4,2012,Flat oysters nei_537,0.87
4,2012,Japanese carpet shell_538,0.841666667
4,2012,Northern quahog(=Hard clam)_539,0.811764706
4,2012,Northern white shrimp_540,0.366666667
4,2012,Olympia oyster_541,0.811764706
4,2012,Pacific cupped oyster_542,0.9
4,2012,Pacific geoduck_543,0.811764706
4,2012,Pacific horse clam_544,0.811764706
4,2012,Pacific littleneck clam_545,0.811764706
4,2012,Rainbow trout_546,0.566666667
4,2012,Red drum_547,0.366666667
4,2012,Sand gaper_548,0.811764706
4,2012,Whiteleg shrimp_549,0.43
5,2012,Abalones nei_524,0.5
5,2012,Amberjacks nei_525,0.444010417
5,2012,American cupped oyster_526,0.887878788
5,2012,Atlantic salmon_527,0.37
5,2012,Blue crab_528,0.416666667
5,2012,Blue mussel_529,0.93
5,2012,Butter clam_530,0.811764706
5,2012,Chinook(=Spring=King) salmon_531,0.370833333
5,2012,"Clams, etc. nei_532",0.766666667
5,2012,Cockles nei_533,0.811764706
5,2012,Coho(=Silver) salmon_534,0.37
5,2012,Cupped oysters nei_535,1
5,2012,European flat oyster_536,0.83
5,2012,Flat oysters nei_537,0.87
5,2012,Japanese carpet shell_538,0.841666667
5,2012,Northern quahog(=Hard clam)_539,0.811764706
5,2012,Northern white shrimp_540,0.366666667
5,2012,Olympia oyster_541,0.811764706
5,2012,Pacific cupped oyster_542,0.9
5,2012,Pacific geoduck_543,0.811764706
5,2012,Pacific horse clam_544,0.811764706
