rgn_id,year,pressure_score
1,2012,0.0058284560247495
1,2013,0.00626000395312697
1,2014,0.00627285246003065
1,2015,0.00620897089180002
1,2016,0.00623263659409471
2,2012,0.0058284560247495
2,2013,0.00626000395312697
2,2014,0.00627285246003065
2,2015,0.00620897089180002
2,2016,0.00623263659409471
3,2012,0.0058284560247495
3,2013,0.00626000395312697
3,2014,0.00627285246003065
3,2015,0.00620897089180002
3,2016,0.00623263659409471
4,2012,0.0058284560247495
4,2013,0.00626000395312697
4,2014,0.00627285246003065
4,2015,0.00620897089180002
4,2016,0.00623263659409471
5,2012,0.0058284560247495
5,2013,0.00626000395312697
5,2014,0.00627285246003065
5,2015,0.00620897089180002
5,2016,0.00623263659409471
6,2012,0.0058284560247495
6,2013,0.00626000395312697
6,2014,0.00627285246003065
6,2015,0.00620897089180002
6,2016,0.00623263659409471
7,2012,0.0058284560247495
7,2013,0.00626000395312697
7,2014,0.00627285246003065
7,2015,0.00620897089180002
7,2016,0.00623263659409471
8,2012,0.0058284560247495
8,2013,0.00626000395312697
8,2014,0.00627285246003065
8,2015,0.00620897089180002
8,2016,0.00623263659409471
9,2012,0.0058284560247495
9,2013,0.00626000395312697
9,2014,0.00627285246003065
9,2015,0.00620897089180002
9,2016,0.00623263659409471
