goal,dimension,region_id,score,year
AO,future,0,100,2012
AO,future,1,100,2012
AO,future,2,100,2012
AO,future,3,100,2012
AO,future,4,100,2012
AO,future,5,100,2012
AO,future,6,100,2012
AO,future,7,100,2012
AO,future,8,100,2012
AO,future,9,100,2012
AO,pressures,1,19.62,2012
AO,pressures,2,19.62,2012
AO,pressures,3,19.62,2012
AO,pressures,4,19.62,2012
AO,pressures,5,19.62,2012
AO,pressures,6,19.62,2012
AO,pressures,7,19.62,2012
AO,pressures,8,19.62,2012
AO,pressures,9,19.62,2012
AO,resilience,1,74.19,2012
AO,resilience,2,74.19,2012
AO,resilience,3,74.19,2012
AO,resilience,4,74.19,2012
AO,resilience,5,74.19,2012
AO,resilience,6,74.19,2012
AO,resilience,7,74.19,2012
AO,resilience,8,74.19,2012
AO,resilience,9,74.19,2012
AO,score,0,99.94,2012
AO,score,1,99.94,2012
AO,score,2,99.94,2012
AO,score,3,99.94,2012
AO,score,4,99.94,2012
AO,score,5,99.94,2012
AO,score,6,99.94,2012
AO,score,7,99.94,2012
AO,score,8,99.94,2012
AO,score,9,99.94,2012
AO,status,0,99.87,2012
AO,status,1,99.87,2012
AO,status,2,99.87,2012
AO,status,3,99.87,2012
AO,status,4,99.87,2012
AO,status,5,99.87,2012
AO,status,6,99.87,2012
AO,status,7,99.87,2012
AO,status,8,99.87,2012
AO,status,9,99.87,2012
AO,trend,1,-0,2012
AO,trend,2,-0,2012
AO,trend,3,-0,2012
AO,trend,4,-0,2012
AO,trend,5,-0,2012
AO,trend,6,-0,2012
AO,trend,7,-0,2012
AO,trend,8,-0,2012
AO,trend,9,-0,2012
BD,future,0,83.99,2012
BD,future,1,83.99,2012
BD,future,2,83.99,2012
BD,future,3,83.99,2012
BD,future,4,83.99,2012
BD,future,5,83.99,2012
BD,future,6,83.99,2012
BD,future,7,83.99,2012
BD,future,8,83.99,2012
BD,future,9,83.99,2012
BD,pressures,1,,2012
BD,pressures,2,,2012
BD,pressures,3,,2012
BD,pressures,4,,2012
BD,pressures,5,,2012
BD,pressures,6,,2012
BD,pressures,7,,2012
BD,pressures,8,,2012
BD,pressures,9,,2012
BD,resilience,1,,2012
BD,resilience,2,,2012
BD,resilience,3,,2012
BD,resilience,4,,2012
BD,resilience,5,,2012
BD,resilience,6,,2012
BD,resilience,7,,2012
BD,resilience,8,,2012
BD,resilience,9,,2012
BD,score,0,83.77,2012
BD,score,1,83.77,2012
BD,score,2,83.77,2012
BD,score,3,83.77,2012
BD,score,4,83.77,2012
BD,score,5,83.77,2012
BD,score,6,83.77,2012
BD,score,7,83.77,2012
BD,score,8,83.77,2012
BD,score,9,83.77,2012
BD,status,0,83.55,2012
BD,status,1,83.55,2012
BD,status,2,83.55,2012
BD,status,3,83.55,2012
BD,status,4,83.55,2012
BD,status,5,83.55,2012
BD,status,6,83.55,2012
BD,status,7,83.55,2012
BD,status,8,83.55,2012
BD,status,9,83.55,2012
BD,trend,1,-0.19,2012
BD,trend,2,-0.19,2012
BD,trend,3,-0.19,2012
BD,trend,4,-0.19,2012
BD,trend,5,-0.19,2012
BD,trend,6,-0.19,2012
BD,trend,7,-0.19,2012
BD,trend,8,-0.19,2012
BD,trend,9,-0.19,2012
CP,future,0,96.39,2012
CP,future,1,96.39,2012
CP,future,2,96.39,2012
CP,future,3,96.39,2012
CP,future,4,96.39,2012
CP,future,5,96.39,2012
CP,future,6,96.39,2012
CP,future,7,96.39,2012
CP,future,8,96.39,2012
CP,future,9,96.39,2012
CP,pressures,1,24.37,2012
CP,pressures,2,24.37,2012
CP,pressures,3,24.37,2012
CP,pressures,4,24.37,2012
CP,pressures,5,24.37,2012
CP,pressures,6,24.37,2012
CP,pressures,7,24.37,2012
CP,pressures,8,24.37,2012
CP,pressures,9,24.37,2012
CP,resilience,1,73.98,2012
CP,resilience,2,73.98,2012
CP,resilience,3,73.98,2012
CP,resilience,4,73.98,2012
CP,resilience,5,73.98,2012
CP,resilience,6,73.98,2012
CP,resilience,7,73.98,2012
CP,resilience,8,73.98,2012
CP,resilience,9,73.98,2012
CP,score,0,91.33,2012
CP,score,1,91.33,2012
CP,score,2,91.33,2012
CP,score,3,91.33,2012
CP,score,4,91.33,2012
CP,score,5,91.33,2012
CP,score,6,91.33,2012
CP,score,7,91.33,2012
CP,score,8,91.33,2012
CP,score,9,91.33,2012
CP,status,0,86.26,2012
CP,status,1,86.26,2012
CP,status,2,86.26,2012
CP,status,3,86.26,2012
CP,status,4,86.26,2012
CP,status,5,86.26,2012
CP,status,6,86.26,2012
CP,status,7,86.26,2012
CP,status,8,86.26,2012
CP,status,9,86.26,2012
CP,trend,1,-0.07,2012
CP,trend,2,-0.07,2012
CP,trend,3,-0.07,2012
CP,trend,4,-0.07,2012
CP,trend,5,-0.07,2012
CP,trend,6,-0.07,2012
CP,trend,7,-0.07,2012
CP,trend,8,-0.07,2012
CP,trend,9,-0.07,2012
CS,future,0,58.07,2012
CS,future,1,58.07,2012
CS,future,2,58.07,2012
CS,future,3,58.07,2012
CS,future,4,58.07,2012
CS,future,5,58.07,2012
CS,future,6,58.07,2012
CS,future,7,58.07,2012
CS,future,8,58.07,2012
CS,future,9,58.07,2012
CS,pressures,1,25.79,2012
CS,pressures,2,25.79,2012
CS,pressures,3,25.79,2012
CS,pressures,4,25.79,2012
CS,pressures,5,25.79,2012
CS,pressures,6,25.79,2012
CS,pressures,7,25.79,2012
CS,pressures,8,25.79,2012
CS,pressures,9,25.79,2012
CS,resilience,1,50.99,2012
CS,resilience,2,50.99,2012
CS,resilience,3,50.99,2012
CS,resilience,4,50.99,2012
CS,resilience,5,50.99,2012
CS,resilience,6,50.99,2012
CS,resilience,7,50.99,2012
CS,resilience,8,50.99,2012
CS,resilience,9,50.99,2012
CS,score,0,61.9,2012
CS,score,1,61.9,2012
CS,score,2,61.9,2012
CS,score,3,61.9,2012
CS,score,4,61.9,2012
CS,score,5,61.9,2012
CS,score,6,61.9,2012
CS,score,7,61.9,2012
CS,score,8,61.9,2012
CS,score,9,61.9,2012
CS,status,0,65.72,2012
CS,status,1,65.72,2012
CS,status,2,65.72,2012
CS,status,3,65.72,2012
CS,status,4,65.72,2012
CS,status,5,65.72,2012
CS,status,6,65.72,2012
CS,status,7,65.72,2012
CS,status,8,65.72,2012
CS,status,9,65.72,2012
CS,trend,1,-0.3,2012
CS,trend,2,-0.3,2012
CS,trend,3,-0.3,2012
CS,trend,4,-0.3,2012
CS,trend,5,-0.3,2012
CS,trend,6,-0.3,2012
CS,trend,7,-0.3,2012
CS,trend,8,-0.3,2012
CS,trend,9,-0.3,2012
CW,future,0,88.91,2012
CW,future,1,88.91,2012
CW,future,2,88.91,2012
CW,future,3,88.91,2012
CW,future,4,88.91,2012
CW,future,5,88.91,2012
CW,future,6,88.91,2012
CW,future,7,88.91,2012
CW,future,8,88.91,2012
CW,future,9,88.91,2012
CW,pressures,1,51.85,2012
CW,pressures,2,51.85,2012
CW,pressures,3,51.85,2012
CW,pressures,4,51.85,2012
CW,pressures,5,51.85,2012
CW,pressures,6,51.85,2012
CW,pressures,7,51.85,2012
CW,pressures,8,51.85,2012
CW,pressures,9,51.85,2012
CW,resilience,1,40.26,2012
CW,resilience,2,40.26,2012
CW,resilience,3,40.26,2012
CW,resilience,4,40.26,2012
CW,resilience,5,40.26,2012
CW,resilience,6,40.26,2012
CW,resilience,7,40.26,2012
CW,resilience,8,40.26,2012
CW,resilience,9,40.26,2012
CW,score,0,83.11,2012
CW,score,1,83.11,2012
CW,score,2,83.11,2012
CW,score,3,83.11,2012
CW,score,4,83.11,2012
CW,score,5,83.11,2012
CW,score,6,83.11,2012
CW,score,7,83.11,2012
CW,score,8,83.11,2012
CW,score,9,83.11,2012
CW,status,0,77.3,2012
CW,status,1,77.3,2012
CW,status,2,77.3,2012
CW,status,3,77.3,2012
CW,status,4,77.3,2012
CW,status,5,77.3,2012
CW,status,6,77.3,2012
CW,status,7,77.3,2012
CW,status,8,77.3,2012
CW,status,9,77.3,2012
CW,trend,1,0.28,2012
CW,trend,2,0.28,2012
CW,trend,3,0.28,2012
CW,trend,4,0.28,2012
CW,trend,5,0.28,2012
CW,trend,6,0.28,2012
CW,trend,7,0.28,2012
CW,trend,8,0.28,2012
CW,trend,9,0.28,2012
ECO,future,0,84.25,2012
ECO,future,1,,2012
ECO,future,2,,2012
ECO,future,3,,2012
ECO,future,4,,2012
ECO,future,5,100,2012
ECO,future,6,100,2012
ECO,future,7,100,2012
ECO,future,8,21.23,2012
ECO,future,9,100,2012
ECO,pressures,1,20.18,2012
ECO,pressures,2,20.18,2012
ECO,pressures,3,20.18,2012
ECO,pressures,4,20.18,2012
ECO,pressures,5,20.18,2012
ECO,pressures,6,20.18,2012
ECO,pressures,7,20.18,2012
ECO,pressures,8,20.18,2012
