"region_id","stock_id","taxon_key","year","catch","score","gap_fill"
1,"Marine_fishes_not_identified-18",100039,2012,10.4058495127005,0.0621401134407364,"median"
1,"Miscellaneous_aquatic_invertebrates-18",100077,2012,0.000394587183469507,0.0621401134407364,"median"
1,"Marine_finfishes_not_identified-18",100139,2012,5.54403557306431,0.0621401134407364,"median"
1,"Marine_groundfishes_not_identified-18",100239,2012,0.00168365787007452,0.0621401134407364,"median"
1,"Mollusca-18",190195,2012,0.680569519700798,0.0621401134407364,"median"
1,"Elasmobranchii-18",200004,2012,1.04356399385217e-05,0.155350283601841,"median"
1,"Chondrichtyes-18",200538,2012,4.37468353887253e-05,0.155350283601841,"median"
1,"Bivalvia-18",290004,2012,0.00544894709039603,0.155350283601841,"median"
1,"Malacostraca-18",290022,2012,0.0105450511804841,0.155350283601841,"median"
1,"Pleuronectiformes-18",300061,2012,0.250164934627256,0.310700567203682,"median"
1,"Decapoda-18",390013,2012,0.000766764956079749,0.310700567203682,"median"
1,"Osmeridae-18",400080,2012,12.8065770345601,0.497120907525891,"median"
1,"Gadidae-18",400183,2012,0.000118752991349019,0.497120907525891,"median"
1,"Cottidae-18",400277,2012,0.152722047725275,0.497120907525891,"median"
1,"Pleuronectidae-18",400440,2012,0.016792771984494,0.497120907525891,"median"
1,"Octopodidae-18",490012,2012,0.000327039247643496,0.497120907525891,"median"
1,"Lithodidae-18",490036,2012,0.000353633326603746,0.497120907525891,"median"
1,"Pandalidae-18",490046,2012,0.0310006030035572,0.497120907525891,"median"
1,"Solenidae-18",490061,2012,0.00451668455350194,0.497120907525891,"median"
1,"Sebastes-18",501135,2012,0.0415718645588532,0.559261020966627,"median"
1,"Oncorhynchus-18",502724,2012,0.263341411421155,0.559261020966627,"median"
1,"Coregonus-18",506253,2012,226.860706904453,0.559261020966627,"median"
1,"Chionoecetes-18",590065,2012,33.566113924919,0.559261020966627,"median"
1,"Paralithodes-18",590073,2012,0.28630899841638,0.559261020966627,"median"
1,"Strongylocentrotus-18",590158,2012,0.149242206067902,0.559261020966627,"median"
1,"Oncorhynchus_mykiss-18",600239,2012,0.00102001633335377,0.621401134407364,"median"
1,"Oncorhynchus_gorbuscha-18",600240,2012,93.4491078886405,0.621401134407364,"median"
1,"Oncorhynchus_keta-18",600241,2012,726.79043326725,0.621401134407364,"median"
1,"Oncorhynchus_nerka-18",600243,2012,27.5829108485892,0.621401134407364,"median"
1,"Salvelinus_alpinus_alpinus-18",600247,2012,27.1857335043134,0.435531207171659,"median"
1,"Mallotus_villosus-18",600252,2012,0.00137195414176661,0.621401134407364,"median"
1,"Eleginus_gracilis-18",600315,2012,15.8314033820756,0.621401134407364,"median"
1,"Boreogadus_saida-18",600319,2012,3.40677406471738,0.621401134407364,"median"
1,"Atheresthes_stomias-18",600517,2012,0.118971229797818,0.621401134407364,"median"
1,"Clupea_pallasii_pallasii-18",601520,2012,30.4407541879181,0.621401134407364,"median"
1,"Microgadus_proximus-18",601879,2012,2.52711723046009e-05,0.621401134407364,"median"
1,"Coregonus_autumnalis-18",602669,2012,16.074935197178,0.472320607401198,"median"
1,"Coregonus_nasus-18",602674,2012,61.6149970591084,0.493979394939726,"median"
1,"Coregonus_pidschian-18",602676,2012,0.0279302996455763,0.621401134407364,"median"
1,"Coregonus_sardinella-18",602678,2012,13.4490721057903,0.621401134407364,"median"
1,"Salvelinus_malma_malma-18",602691,2012,99.7990180548276,0.621401134407364,"median"
1,"Stenodus_leucichthys-18",602692,2012,245.784956604175,0.621401134407364,"median"
1,"Pleurogrammus_monopterygius-18",604037,2012,0.00892224350182301,0.621401134407364,"median"
1,"Myoxocephalus_quadricornis-18",604122,2012,0.976011442412674,0.621401134407364,"median"
1,"Glyptocephalus_zachirus-18",604238,2012,0.000868689843828968,0.621401134407364,"median"
