"rgn_id","product","year","gap_fill"
1,"corals",2000,0
2,"corals",2000,0
3,"corals",2000,0
4,"corals",2000,0
5,"corals",2000,0
6,"corals",2000,0
7,"corals",2000,0
8,"corals",2000,0
9,"corals",2000,0
1,"corals",2001,0
2,"corals",2001,0
3,"corals",2001,0
4,"corals",2001,0
5,"corals",2001,0
6,"corals",2001,0
7,"corals",2001,0
8,"corals",2001,0
9,"corals",2001,0
1,"corals",2002,0
2,"corals",2002,0
3,"corals",2002,0
4,"corals",2002,0
5,"corals",2002,0
6,"corals",2002,0
7,"corals",2002,0
8,"corals",2002,0
9,"corals",2002,0
1,"corals",2003,0
2,"corals",2003,0
3,"corals",2003,0
4,"corals",2003,0
5,"corals",2003,0
6,"corals",2003,0
7,"corals",2003,0
8,"corals",2003,0
9,"corals",2003,0
1,"corals",2004,0
2,"corals",2004,0
3,"corals",2004,0
4,"corals",2004,0
5,"corals",2004,0
6,"corals",2004,0
7,"corals",2004,0
8,"corals",2004,0
9,"corals",2004,0
1,"corals",2005,0
2,"corals",2005,0
3,"corals",2005,0
4,"corals",2005,0
5,"corals",2005,0
6,"corals",2005,0
7,"corals",2005,0
8,"corals",2005,0
9,"corals",2005,0
1,"corals",2006,0
2,"corals",2006,0
3,"corals",2006,0
4,"corals",2006,0
5,"corals",2006,0
6,"corals",2006,0
7,"corals",2006,0
8,"corals",2006,0
9,"corals",2006,0
1,"corals",2007,0
2,"corals",2007,0
3,"corals",2007,0
4,"corals",2007,0
5,"corals",2007,0
6,"corals",2007,0
7,"corals",2007,0
8,"corals",2007,0
9,"corals",2007,0
1,"corals",2008,0
2,"corals",2008,0
3,"corals",2008,0
4,"corals",2008,0
5,"corals",2008,0
6,"corals",2008,0
7,"corals",2008,0
8,"corals",2008,0
9,"corals",2008,0
1,"corals",2009,0
2,"corals",2009,0
3,"corals",2009,0
4,"corals",2009,0
5,"corals",2009,0
6,"corals",2009,0
7,"corals",2009,0
8,"corals",2009,0
9,"corals",2009,0
1,"corals",2010,0
2,"corals",2010,0
3,"corals",2010,0
4,"corals",2010,0
5,"corals",2010,0
6,"corals",2010,0
7,"corals",2010,0
8,"corals",2010,0
9,"corals",2010,0
