"rgn_id","habitat","prop_score"
1,"coral",0.042
1,"saltmarsh",0.124
1,"seagrass",0.047
1,"seaice_shoreline",0.779
2,"coral",0.042
2,"saltmarsh",0.124
2,"seagrass",0.047
2,"seaice_shoreline",0.779
3,"coral",0.042
3,"saltmarsh",0.124
3,"seagrass",0.047
3,"seaice_shoreline",0.779
4,"coral",0.042
4,"saltmarsh",0.124
4,"seagrass",0.047
4,"seaice_shoreline",0.779
5,"coral",0.042
5,"saltmarsh",0.124
5,"seagrass",0.047
5,"seaice_shoreline",0.779
6,"coral",0.042
6,"saltmarsh",0.124
6,"seagrass",0.047
6,"seaice_shoreline",0.779
7,"coral",0.042
7,"saltmarsh",0.124
7,"seagrass",0.047
7,"seaice_shoreline",0.779
8,"coral",0.042
8,"saltmarsh",0.124
8,"seagrass",0.047
8,"seaice_shoreline",0.779
9,"coral",0.042
9,"saltmarsh",0.124
9,"seagrass",0.047
9,"seaice_shoreline",0.779
1,"mangrove",0.008
2,"mangrove",0.008
3,"mangrove",0.008
4,"mangrove",0.008
5,"mangrove",0.008
6,"mangrove",0.008
7,"mangrove",0.008
8,"mangrove",0.008
9,"mangrove",0.008
