"rgn_id","habitat","prop_score"
1,"mangrove",0.04
1,"saltmarsh",0.662
1,"seagrass",0.298
2,"mangrove",0.04
2,"saltmarsh",0.662
2,"seagrass",0.298
3,"mangrove",0.04
3,"saltmarsh",0.662
3,"seagrass",0.298
4,"mangrove",0.04
4,"saltmarsh",0.662
4,"seagrass",0.298
5,"mangrove",0.04
5,"saltmarsh",0.662
5,"seagrass",0.298
6,"mangrove",0.04
6,"saltmarsh",0.662
6,"seagrass",0.298
7,"mangrove",0.04
7,"saltmarsh",0.662
7,"seagrass",0.298
8,"mangrove",0.04
8,"saltmarsh",0.662
8,"seagrass",0.298
9,"mangrove",0.04
9,"saltmarsh",0.662
9,"seagrass",0.298
